NUMBER_OF_SYNAPSES	APC_N	MAX_VOLTAGE	
52	0.0	-75.6556067944	
52	0.0	-76.1487774774	
52	0.0	-74.3614815414	
52	0.0	-75.377069354	
52	0.0	-77.659371951	
52	0.0	-76.0478172808	
52	0.0	-76.3836886869	
52	0.0	-76.0432314147	
52	0.0	-74.8365690869	
52	0.0	-75.8346056172	
52	0.0	-76.186762097	
52	0.0	-77.0153504464	
52	0.0	-75.9480875445	
52	0.0	-74.089133735	
52	0.0	-76.2763954888	
52	0.0	-75.1471038613	
52	0.0	-75.165158578	
52	0.0	-77.9654980042	
52	0.0	-75.9160612624	
52	0.0	-75.0675755451	
52	0.0	-76.4244085025	
52	0.0	-77.3355768387	
52	0.0	-74.3876708323	
52	0.0	-74.2831294215	
52	0.0	-76.5997442161	
52	0.0	-76.2950463222	
52	0.0	-74.6429024016	
52	0.0	-76.6933824905	
52	0.0	-75.8344245761	
52	0.0	-76.2020775436	
52	0.0	-75.2912233194	
52	0.0	-75.5654882001	
52	0.0	-77.7928832185	
52	0.0	-76.4222587126	
52	0.0	-75.7083118571	
52	0.0	-76.6053916145	
52	0.0	-75.2654383544	
52	0.0	-75.1936021028	
52	0.0	-76.1225695861	
52	0.0	-75.3790575825	
52	0.0	-75.2812130206	
52	0.0	-76.8933408107	
52	0.0	-75.6775560313	
52	0.0	-75.8342507331	
52	0.0	-76.1101425893	
52	0.0	-76.0138490287	
52	0.0	-75.237089856	
52	0.0	-75.8240827119	
52	0.0	-77.3278625364	
52	0.0	-75.0704045924	
52	0.0	-76.685814492	
52	0.0	-76.401742738	
52	0.0	-75.8452468842	
52	0.0	-75.8045593677	
52	0.0	-75.6744471554	
52	0.0	-75.7278527454	
52	0.0	-75.6828706737	
52	0.0	-78.0181683406	
52	0.0	-75.7630426347	
52	0.0	-74.9642286545	
52	0.0	-75.2297369538	
52	0.0	-77.3276968228	
52	0.0	-77.3403988651	
52	0.0	-76.2537283573	
52	0.0	-76.1900298192	
52	0.0	-75.2870889818	
52	0.0	-74.3120979254	
52	0.0	-75.8124416209	
52	0.0	-75.3691446962	
52	0.0	-75.1882559632	
52	0.0	-74.7515935701	
52	0.0	-76.2197806742	
52	0.0	-76.0981277034	
52	0.0	-75.0789906433	
52	0.0	-75.6436139556	
52	0.0	-76.4639445715	
52	0.0	-76.2470912385	
52	0.0	-76.2298244381	
52	0.0	-76.5030296484	
52	0.0	-75.335124985	
52	0.0	-75.9825488771	
52	0.0	-75.5033499786	
52	0.0	-76.4209625349	
52	0.0	-75.6280811369	
52	0.0	-77.0201506301	
52	0.0	-76.3699502881	
52	0.0	-76.9028080214	
52	0.0	-76.043241551	
52	0.0	-76.0128936975	
52	0.0	-77.2084057668	
52	0.0	-76.9261306506	
52	0.0	-75.010246198	
52	0.0	-76.3022612343	
52	0.0	-76.3885218543	
52	0.0	-77.8779074633	
52	0.0	-75.2436002994	
52	0.0	-75.0667758638	
52	0.0	-76.571044704	
52	0.0	-76.7724022369	
52	0.0	-75.9867043742	
52	0.0	-75.1595674995	
52	0.0	-78.1934036174	
52	0.0	-77.1793806859	
52	0.0	-75.3676116714	
52	0.0	-76.4875429168	
52	0.0	-76.0896393294	
52	0.0	-75.677784218	
52	0.0	-76.2032164548	
52	0.0	-75.2264312424	
52	0.0	-76.0461681635	
52	0.0	-76.8659398386	
52	0.0	-75.1851995578	
52	0.0	-76.5353784691	
52	0.0	-75.7701432027	
52	0.0	-75.1291774419	
52	0.0	-74.9136388504	
52	0.0	-76.2087719969	
52	0.0	-76.1584563922	
52	0.0	-76.616652036	
52	0.0	-76.0306390459	
52	0.0	-76.3866492747	
52	0.0	-75.9934835585	
52	0.0	-76.4605668788	
52	0.0	-76.3429494088	
52	0.0	-76.0901574501	
52	0.0	-75.9181075442	
52	0.0	-76.6624727929	
52	0.0	-76.3680259455	
52	0.0	-75.156226847	
52	0.0	-76.5559572459	
52	0.0	-75.8299087012	
52	0.0	-75.6185533918	
52	0.0	-74.6704424017	
52	0.0	-75.8009730888	
52	0.0	-76.2418919017	
52	0.0	-76.9972543974	
52	0.0	-77.7852254213	
52	0.0	-77.1213180636	
52	0.0	-75.110958526	
52	0.0	-75.9150209979	
52	0.0	-76.2658794568	
52	0.0	-75.58041505	
52	0.0	-76.4965552513	
52	0.0	-75.3594232085	
52	0.0	-77.3398859985	
52	0.0	-75.9837334556	
52	0.0	-75.9656432543	
52	0.0	-75.5968502549	
52	0.0	-76.7333421529	
52	0.0	-75.8683114746	
52	0.0	-74.7989249994	
52	0.0	-75.7253446185	
52	0.0	-75.7462953272	
52	0.0	-76.4181524498	
52	0.0	-75.0453228431	
52	0.0	-75.7410073662	
52	0.0	-75.7698085421	
52	0.0	-76.1068408805	
52	0.0	-75.4118172663	
52	0.0	-75.8306851677	
52	0.0	-76.6672118125	
52	0.0	-77.0966114505	
52	0.0	-75.8610467866	
52	0.0	-74.3889854159	
52	0.0	-77.3744462122	
52	0.0	-76.8383661574	
52	0.0	-75.840272841	
52	0.0	-76.3741921806	
52	0.0	-75.5852905682	
52	0.0	-75.8532631749	
52	0.0	-76.097477375	
52	0.0	-75.7592257527	
52	0.0	-75.3257979482	
52	0.0	-75.9405453019	
52	0.0	-75.5159766413	
52	0.0	-75.632265775	
52	0.0	-76.7958214753	
52	0.0	-75.6716356809	
52	0.0	-75.3002297027	
52	0.0	-76.3468311745	
52	0.0	-76.964913557	
52	0.0	-76.7989773958	
52	0.0	-75.4962579304	
52	0.0	-74.3281209271	
52	0.0	-76.2751471256	
52	0.0	-76.1388183433	
52	0.0	-77.9298435412	
52	0.0	-74.9988068301	
52	0.0	-77.3899771487	
52	0.0	-76.3001329426	
52	0.0	-75.6205228155	
52	0.0	-75.4679404091	
52	0.0	-76.7000783893	
52	0.0	-74.9372474966	
52	0.0	-75.7719318432	
52	0.0	-75.8475386181	
52	0.0	-76.288355116	
52	0.0	-76.2931115044	
52	0.0	-74.9641827194	
52	0.0	-76.5891320918	
52	0.0	-75.8595190831	
52	0.0	-76.402863657	
52	0.0	-76.334433106	
52	0.0	-75.8311673071	
52	0.0	-74.6656945364	
52	0.0	-75.9193306746	
52	0.0	-75.9777504743	
52	0.0	-75.6269272784	
52	0.0	-75.562467298	
52	0.0	-75.7213644191	
52	0.0	-75.8158925438	
52	0.0	-75.7812681253	
52	0.0	-75.1211933134	
52	0.0	-76.448491755	
52	0.0	-75.6515701847	
52	0.0	-76.0365387859	
52	0.0	-75.842654817	
52	0.0	-75.1260631403	
52	0.0	-75.0229059674	
52	0.0	-75.0847186594	
52	0.0	-75.7805083829	
52	0.0	-77.2650215297	
52	0.0	-75.0493178706	
52	0.0	-76.52491667	
52	0.0	-75.5213639635	
52	0.0	-76.379629408	
52	0.0	-75.7433444737	
52	0.0	-74.1774851625	
52	0.0	-75.6703619317	
52	0.0	-75.920671393	
52	0.0	-75.1721039808	
52	0.0	-75.6139706526	
52	0.0	-76.3744217796	
52	0.0	-75.3096037838	
52	0.0	-75.8243311517	
52	0.0	-75.5884803213	
52	0.0	-75.6250283694	
52	0.0	-75.082854227	
52	0.0	-76.9770294937	
52	0.0	-75.5053579588	
52	0.0	-75.405640814	
52	0.0	-76.9454750018	
52	0.0	-75.3248398916	
52	0.0	-75.3649231633	
52	0.0	-76.7378481493	
52	0.0	-76.1246942041	
52	0.0	-75.9633408144	
52	0.0	-75.8797138605	
52	0.0	-76.1779027959	
52	0.0	-75.3504715354	
52	0.0	-74.9671921482	
52	0.0	-75.9065790181	
52	0.0	-75.9266982693	
52	0.0	-75.4857946398	
52	0.0	-75.4612871643	
52	0.0	-77.0970910312	
52	0.0	-75.7567037455	
52	0.0	-75.6297637443	
52	0.0	-77.6635214901	
52	0.0	-74.8042690824	
52	0.0	-76.3805270956	
52	0.0	-76.5050085895	
52	0.0	-78.4055137861	
52	0.0	-75.609325735	
52	0.0	-76.0151448845	
52	0.0	-75.8534537994	
52	0.0	-75.601494947	
52	0.0	-76.1644593968	
52	0.0	-74.3320292885	
52	0.0	-74.8411383392	
52	0.0	-75.0920138139	
52	0.0	-75.6847177339	
52	0.0	-75.594281757	
52	0.0	-75.4127953498	
52	0.0	-77.2262745926	
52	0.0	-75.4276134221	
52	0.0	-76.2601991607	
52	0.0	-75.5478412637	
52	0.0	-75.3308420726	
52	0.0	-76.114048148	
52	0.0	-74.8289370393	
52	0.0	-75.9133241926	
52	0.0	-76.763761263	
52	0.0	-76.4487897973	
52	0.0	-75.3088425957	
52	0.0	-76.4960411154	
52	0.0	-76.0474769404	
52	0.0	-77.0475573696	
52	0.0	-76.0149408124	
52	0.0	-75.6159741855	
52	0.0	-76.8588087284	
52	0.0	-76.4912455293	
52	0.0	-75.4307971401	
52	0.0	-76.6840669689	
52	0.0	-75.6105161226	
52	0.0	-75.7828797021	
52	0.0	-76.1251559242	
52	0.0	-76.1336404995	
52	0.0	-76.1453597111	
52	0.0	-75.7622795372	
52	0.0	-76.138748709	
52	0.0	-75.5431681146	
52	0.0	-74.5177147334	
52	0.0	-76.627858319	
52	0.0	-76.7361893907	
52	0.0	-75.4679659315	
52	0.0	-75.6722472017	
52	0.0	-75.4526382287	
52	0.0	-77.6071272913	
52	0.0	-75.6255605954	
52	0.0	-75.4197000173	
52	0.0	-76.6777916065	
52	0.0	-76.963611356	
52	0.0	-75.8684076564	
52	0.0	-76.1902675916	
52	0.0	-75.2527118064	
52	0.0	-75.561570147	
52	0.0	-75.7846651907	
52	0.0	-75.502987762	
52	0.0	-76.2842123529	
52	0.0	-75.7930743339	
52	0.0	-77.0620307548	
52	0.0	-75.7174206001	
52	0.0	-76.4012010387	
52	0.0	-74.9916201915	
52	0.0	-75.0005517803	
52	0.0	-75.2076644651	
52	0.0	-76.007624934	
52	0.0	-75.2980399286	
52	0.0	-75.8712903765	
52	0.0	-75.6087453764	
52	0.0	-75.397070145	
52	0.0	-77.1414088943	
52	0.0	-76.174129209	
52	0.0	-75.7812149284	
52	0.0	-76.1285559166	
52	0.0	-75.5633745878	
52	0.0	-76.1967147947	
52	0.0	-73.8070086372	
52	0.0	-78.3136929551	
52	0.0	-75.7489855104	
52	0.0	-75.3519460908	
52	0.0	-75.8093982252	
52	0.0	-75.3728790611	
52	0.0	-75.6254616214	
52	0.0	-76.2984050384	
52	0.0	-76.4931997917	
52	0.0	-76.1584485105	
52	0.0	-76.2366555288	
52	0.0	-77.1912392808	
52	0.0	-77.4108803872	
52	0.0	-77.4618531795	
52	0.0	-77.2900770589	
52	0.0	-76.851398619	
52	0.0	-74.6839171942	
52	0.0	-74.8151362606	
52	0.0	-76.1055637825	
52	0.0	-76.427688522	
52	0.0	-75.646042681	
52	0.0	-76.2348508623	
52	0.0	-75.9187043588	
52	0.0	-76.3855990058	
52	0.0	-76.4581517024	
52	0.0	-77.2263602721	
52	0.0	-75.029554649	
52	0.0	-74.9856324886	
52	0.0	-76.6218026602	
52	0.0	-75.7985174991	
52	0.0	-75.6435837175	
52	0.0	-76.5125772366	
52	0.0	-76.5303124497	
52	0.0	-75.0194096378	
52	0.0	-74.8965740312	
52	0.0	-75.117256738	
52	0.0	-77.1108773626	
52	0.0	-75.8407402763	
52	0.0	-74.4248730737	
52	0.0	-74.8497425189	
52	0.0	-77.2112152792	
52	0.0	-74.9177819135	
52	0.0	-76.2333309802	
52	0.0	-75.3873104044	
52	0.0	-75.3597001703	
52	0.0	-76.104739332	
52	0.0	-75.6106787217	
52	0.0	-74.7573459343	
52	0.0	-76.0194684979	
52	0.0	-76.7993275373	
52	0.0	-75.5197098589	
52	0.0	-76.4088496425	
52	0.0	-75.1598994996	
52	0.0	-75.6695752362	
