model,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1030,0.218295,0.412746,0.588336,0.749153,0.898601,1.03959,1.17468,1.30625,1.43666,1.56845,1.70467,1.84944,2.00919,2.19592,2.43914,2.8796,5.81407,6.07812,6.26864,6.42199,6.55076,6.66161,6.75868,6.8448,6.92198,6.99172,7.05518,7.11327,7.16671,7.21611,7.26194,7.30461,7.34448,7.38182,7.4169,7.44992,7.48109,7.51055,7.53847,7.56496,7.59015,7.61412,7.63698,7.6588,7.67966,7.69962,7.71875,7.73709,7.7547,7.77163
33287,0.240263,0.451087,0.638766,0.808266,0.963539,1.10776,1.24352,1.37299,1.49805,1.6204,1.74167,1.86356,1.98807,2.11777,2.25639,2.41022,2.59176,2.83458,3.36025,5.79131,6.02954,6.20498,6.34777,6.46882,6.57392,6.66667,6.74954,6.82427,6.89219,6.95433,7.01149,7.06432,7.11335,7.15902,7.2017,7.24171,7.27931,7.31474,7.34819,7.37984,7.40985,7.43834,7.46544,7.49126,7.5159,7.53943,7.56194,7.5835,7.60416,7.62399
58891,0.192945,0.366828,0.525176,0.670947,0.806656,0.934467,1.05629,1.17388,1.28888,1.40299,1.51801,1.63609,1.76002,1.89385,2.04428,2.22468,2.47155,3.07138,6.1966,6.38215,6.52645,6.64681,6.75032,6.84105,6.92166,6.99402,7.05952,7.11922,7.17396,7.22439,7.27106,7.31443,7.35485,7.39266,7.42812,7.46145,7.49287,7.52255,7.55063,7.57725,7.60254,7.62659,7.64951,7.67137,7.69226,7.71223,7.73136,7.74969,7.76729,7.78419
52242,0.256794,0.480845,0.679948,0.860264,1.02675,1.18354,1.33423,1.48218,1.63092,1.78455,1.94879,2.13318,2.35827,2.69444,5.83278,6.14795,6.35432,6.5165,6.65073,6.76505,6.86432,6.95175,7.02964,7.09964,7.16303,7.22081,7.27376,7.32253,7.36762,7.40948,7.44847,7.4849,7.51903,7.55109,7.58128,7.60976,7.63669,7.6622,7.6864,7.70941,7.7313,7.75218,7.7721,7.79114,7.80935,7.8268,7.84354,7.8596,7.87503,7.88987
35347,0.206283,0.390523,0.556826,0.708537,0.848401,0.978681,1.10127,1.21776,1.32952,1.43776,1.54358,1.64801,1.7521,1.85694,1.96382,2.0743,2.19054,2.31575,2.45524,2.61934,2.83357,3.21393,5.61549,5.87608,6.05508,6.19895,6.3206,6.42628,6.51971,6.60338,6.67902,6.74796,6.81118,6.86949,6.92351,6.97376,7.02068,7.06463,7.10591,7.14479,7.18149,7.21621,7.24912,7.28038,7.31011,7.33844,7.36546,7.39129,7.41599,7.43966
2075,0.177202,0.342076,0.497292,0.645146,0.78763,0.926484,1.06321,1.19908,1.33509,1.47186,1.60957,1.74795,1.88627,2.02366,2.1593,2.2927,2.42374,2.55267,2.68,2.80634,2.93239,3.05879,3.18613,3.31484,3.4452,3.57725,3.71075,3.84514,3.97957,4.11296,4.24411,4.3719,4.49535,4.61376,4.72671,4.83403,4.93575,5.03201,5.12306,5.2092,5.29073,5.36795,5.44118,5.51069,5.57676,5.63962,5.6995,5.75662,5.81117,5.86331
23581,0.324746,0.598659,0.836335,1.04845,1.24301,1.4263,1.60362,1.77998,1.96108,2.15498,2.37656,2.66525,3.31389,5.7922,6.08487,6.29731,6.46618,6.60622,6.72546,6.82889,6.91988,7.00081,7.07345,7.13914,7.19893,7.25366,7.304,7.3505,7.39362,7.43374,7.47119,7.50624,7.53914,7.5701,7.59928,7.62685,7.65294,7.67769,7.70119,7.72354,7.74484,7.76516,7.78456,7.80312,7.82089,7.83792,7.85426,7.86995,7.88503,7.89955
25125,0.331191,0.609854,0.851392,1.06702,1.2651,1.45222,1.63396,1.81572,2.00383,2.20768,2.44577,2.77292,5.00645,5.73024,6.02441,6.24098,6.41367,6.55701,6.67909,6.78499,6.87814,6.96098,7.03533,7.10256,7.16375,7.21975,7.27125,7.31882,7.36293,7.40397,7.44228,7.47813,7.51178,7.54344,7.57328,7.60147,7.62816,7.65347,7.6775,7.70036,7.72214,7.74291,7.76276,7.78174,7.7999,7.81732,7.83403,7.85007,7.8655,7.88034
12336,0.306977,0.568323,0.796712,1.00166,1.19053,1.36927,1.54313,1.71729,1.89787,2.09387,2.32275,2.63547,5.51227,6.01145,6.26223,6.45174,6.60496,6.7333,6.8433,6.93917,7.0238,7.09929,7.1672,7.22872,7.28481,7.33621,7.38354,7.4273,7.46791,7.50572,7.54104,7.57412,7.60518,7.63441,7.66199,7.68804,7.71272,7.73612,7.75835,7.77951,7.79967,7.8189,7.83727,7.85485,7.87168,7.88781,7.90329,7.91816,7.93246,7.94621
24627,0.186885,0.356903,0.513196,0.658397,0.794731,0.924105,1.04817,1.16842,1.28618,1.40275,1.51938,1.63738,1.75821,1.88356,2.01557,2.15714,2.31251,2.48843,2.69663,2.95955,3.32201,3.83165,4.33792,4.68967,4.94585,5.15055,5.3227,5.47172,5.60317,5.72064,5.82669,5.92318,6.01155,6.09294,6.16824,6.23822,6.30347,6.36453,6.42182,6.47572,6.52656,6.57462,6.62014,6.66334,6.7044,6.7435,6.78079,6.81641,6.85046,6.88307
