NUMBER_OF_SYNAPSES	fit_to_EPSP	SEC_List	Sec_Index	Sec_Seg	TAU_1	TAU_2	WEIGHT	Spike_time	RMSD
1	081212_5to1	apic	10	0.045	0.3	1.8	0.001850	255.372	0.001469
1	081212_5to1	apic	11	0.045	0.3	1.8	0.001852	255.363	0.001468
1	081212_5to1	apic	15	1.000	0.3	1.8	0.001796	255.584	0.001469
1	081212_5to1	apic	16	0.038	0.3	1.8	0.001857	255.527	0.001455
1	081212_5to1	apic	16	0.115	0.3	1.8	0.001977	255.311	0.001442
1	081212_5to1	apic	17	0.045	0.3	1.8	0.001857	255.506	0.001456
1	081212_5to1	apic	17	0.136	0.3	1.8	0.001975	255.396	0.001444
1	081212_5to1	apic	22	1.000	0.3	1.8	0.001807	255.718	0.001462
1	081212_5to1	apic	30	0.500	0.3	1.8	0.001878	255.741	0.001438
1	081212_5to1	apic	30	1.000	0.3	1.8	0.001952	255.548	0.001415
1	081212_5to1	apic	3	1.000	0.3	1.8	0.001703	255.716	0.001497
1	081212_5to1	apic	4	0.045	0.3	1.8	0.001758	255.554	0.001482
1	081212_5to1	apic	4	0.136	0.3	1.8	0.001863	255.325	0.001469
1	081212_5to1	apic	5	0.500	0.3	1.8	0.001784	255.511	0.001471
1	081212_5to1	apic	9	0.900	0.3	1.8	0.001773	255.520	0.001484
1	081212_5to1	apic	9	1.000	0.3	1.8	0.001802	255.501	0.001478
1	081212_5to1	dend	58	0.500	0.3	1.8	0.001786	255.406	0.001474
