NUMBER_OF_SYNAPSES	fit_to_EPSP	SEC_List	Sec_Index	Sec_Seg	TAU_1	TAU_2	WEIGHT	Spike_time	RMSD
1	100316_Cl4_5to2	apic	0	1.000	0.3	1.8	0.002307	142.050	0.003047
1	100316_Cl4_5to2	apic	1	0.100	0.3	1.8	0.002374	142.034	0.003040
1	100316_Cl4_5to2	apic	1	0.300	0.3	1.8	0.002508	141.881	0.003043
1	100316_Cl4_5to2	apic	1	0.500	0.3	1.8	0.002648	141.799	0.003057
1	100316_Cl4_5to2	apic	1	0.700	0.3	1.8	0.002796	141.813	0.003061
1	100316_Cl4_5to2	apic	1	0.900	0.3	1.8	0.002956	141.785	0.003077
1	100316_Cl4_5to2	apic	1	1.000	0.3	1.8	0.003043	141.763	0.003087
1	100316_Cl4_5to2	apic	2	0.500	0.3	1.8	0.002342	142.002	0.003011
1	100316_Cl4_5to2	apic	2	1.000	0.3	1.8	0.002377	141.992	0.002985
1	100316_Cl4_5to2	apic	3	0.167	0.3	1.8	0.002501	141.938	0.002960
1	100316_Cl4_5to2	apic	8	0.500	0.3	1.8	0.002465	141.948	0.002950
1	100316_Cl4_5to2	dend	0	1.000	0.3	1.8	0.002298	141.993	0.003067
1	100316_Cl4_5to2	dend	10	0.500	0.3	1.8	0.002759	141.739	0.003119
1	100316_Cl4_5to2	dend	10	1.000	0.3	1.8	0.002985	141.683	0.003149
1	100316_Cl4_5to2	dend	11	0.167	0.3	1.8	0.002639	141.744	0.003111
1	100316_Cl4_5to2	dend	11	0.500	0.3	1.8	0.002808	141.745	0.003126
1	100316_Cl4_5to2	dend	11	0.833	0.3	1.8	0.002994	141.686	0.003153
1	100316_Cl4_5to2	dend	11	1.000	0.3	1.8	0.003094	141.730	0.003170
1	100316_Cl4_5to2	dend	12	0.500	0.3	1.8	0.002354	141.946	0.003055
1	100316_Cl4_5to2	dend	12	1.000	0.3	1.8	0.002387	141.938	0.003054
1	100316_Cl4_5to2	dend	1	0.167	0.3	1.8	0.002395	141.947	0.003064
1	100316_Cl4_5to2	dend	29	0.278	0.3	1.8	0.002541	141.753	0.003190
1	100316_Cl4_5to2	dend	29	0.389	0.3	1.8	0.002660	141.748	0.003226
1	100316_Cl4_5to2	dend	30	0.500	0.3	1.8	0.002334	141.957	0.003066
1	100316_Cl4_5to2	dend	36	1.000	0.3	1.8	0.002305	142.031	0.003058
1	100316_Cl4_5to2	dend	37	0.500	0.3	1.8	0.002345	142.006	0.003052
1	100316_Cl4_5to2	dend	37	1.000	0.3	1.8	0.002385	141.887	0.003052
1	100316_Cl4_5to2	dend	38	0.056	0.3	1.8	0.002472	141.913	0.003083
1	100316_Cl4_5to2	dend	42	0.500	0.3	1.8	0.002406	141.898	0.003059
1	100316_Cl4_5to2	dend	49	0.300	0.3	1.8	0.002378	142.030	0.003062
1	100316_Cl4_5to2	dend	4	0.500	0.3	1.8	0.002308	142.047	0.003063
1	100316_Cl4_5to2	dend	4	1.000	0.3	1.8	0.002318	142.026	0.003062
1	100316_Cl4_5to2	dend	52	1.000	0.3	1.8	0.002331	142.027	0.003068
1	100316_Cl4_5to2	dend	53	0.500	0.3	1.8	0.002431	141.892	0.003041
1	100316_Cl4_5to2	dend	5	0.033	0.3	1.8	0.002431	141.877	0.003059
1	100316_Cl4_5to2	dend	64	0.500	0.3	1.8	0.002385	141.934	0.003074
1	100316_Cl4_5to2	dend	64	1.000	0.3	1.8	0.002434	141.819	0.003107
1	100316_Cl4_5to2	dend	6	0.500	0.3	1.8	0.002321	141.994	0.003062
1	100316_Cl4_5to2	dend	6	1.000	0.3	1.8	0.002324	141.979	0.003062
1	100316_Cl4_5to2	dend	7	0.500	0.3	1.8	0.002377	141.948	0.003065
1	100316_Cl4_5to2	dend	7	1.000	0.3	1.8	0.002429	141.893	0.003079
1	100316_Cl4_5to2	dend	8	0.167	0.3	1.8	0.002494	141.848	0.003085
1	100316_Cl4_5to2	dend	8	0.500	0.3	1.8	0.002629	141.847	0.003095
1	100316_Cl4_5to2	dend	8	0.833	0.3	1.8	0.002774	141.771	0.003113
1	100316_Cl4_5to2	dend	8	1.000	0.3	1.8	0.002851	141.818	0.003124
1	100316_Cl4_5to2	dend	9	0.500	0.3	1.8	0.002494	141.787	0.003085
1	100316_Cl4_5to2	dend	9	1.000	0.3	1.8	0.002559	141.804	0.003096
