NUMBER_OF_SYNAPSES	fit_to_EPSP	SEC_List	Sec_Index	Sec_Seg	TAU_1	TAU_2	WEIGHT	Spike_time	RMSD
1	110426_Sl4_Cl2_6to4	apic	12	0.500	0.3	1.8	0.001518	138.575	0.000238
1	110426_Sl4_Cl2_6to4	apic	12	1.000	0.3	1.8	0.001556	138.551	0.000235
1	110426_Sl4_Cl2_6to4	apic	13	0.056	0.3	1.8	0.001594	138.461	0.000236
1	110426_Sl4_Cl2_6to4	apic	14	0.500	0.3	1.8	0.001567	138.556	0.000236
1	110426_Sl4_Cl2_6to4	apic	14	1.000	0.3	1.8	0.001579	138.484	0.000236
1	110426_Sl4_Cl2_6to4	apic	3	0.500	0.3	1.8	0.001555	138.563	0.000238
1	110426_Sl4_Cl2_6to4	apic	8	1.000	0.3	1.8	0.001480	138.667	0.000248
1	110426_Sl4_Cl2_6to4	apic	9	0.100	0.3	1.8	0.001518	138.551	0.000237
1	110426_Sl4_Cl2_6to4	apic	9	0.300	0.3	1.8	0.001590	138.541	0.000240
1	110426_Sl4_Cl2_6to4	dend	13	0.500	0.3	1.8	0.001497	138.541	0.000247
1	110426_Sl4_Cl2_6to4	dend	18	0.500	0.3	1.8	0.001429	138.574	0.000253
1	110426_Sl4_Cl2_6to4	dend	18	1.000	0.3	1.8	0.001472	138.502	0.000250
1	110426_Sl4_Cl2_6to4	dend	19	0.038	0.3	1.8	0.001513	138.437	0.000256
1	110426_Sl4_Cl2_6to4	dend	1	0.500	0.3	1.8	0.001463	138.567	0.000251
1	110426_Sl4_Cl2_6to4	dend	20	0.045	0.3	1.8	0.001504	138.445	0.000256
1	110426_Sl4_Cl2_6to4	dend	30	1.000	0.3	1.8	0.001424	138.571	0.000253
1	110426_Sl4_Cl2_6to4	dend	31	0.045	0.3	1.8	0.001453	138.532	0.000254
1	110426_Sl4_Cl2_6to4	dend	31	0.136	0.3	1.8	0.001509	138.352	0.000262
1	110426_Sl4_Cl2_6to4	dend	32	0.038	0.3	1.8	0.001463	138.485	0.000252
1	110426_Sl4_Cl2_6to4	dend	33	0.500	0.3	1.8	0.001430	138.576	0.000253
1	110426_Sl4_Cl2_6to4	dend	33	1.000	0.3	1.8	0.001436	138.587	0.000253
1	110426_Sl4_Cl2_6to4	dend	34	0.045	0.3	1.8	0.001472	138.458	0.000254
1	110426_Sl4_Cl2_6to4	dend	35	0.033	0.3	1.8	0.001463	138.518	0.000252
1	110426_Sl4_Cl2_6to4	dend	39	0.300	0.3	1.8	0.001483	138.634	0.000245
1	110426_Sl4_Cl2_6to4	dend	42	1.000	0.3	1.8	0.001444	138.564	0.000248
1	110426_Sl4_Cl2_6to4	dend	43	0.038	0.3	1.8	0.001484	138.450	0.000251
1	110426_Sl4_Cl2_6to4	dend	44	0.500	0.3	1.8	0.001451	138.547	0.000249
1	110426_Sl4_Cl2_6to4	dend	44	1.000	0.3	1.8	0.001457	138.452	0.000249
1	110426_Sl4_Cl2_6to4	dend	49	0.500	0.3	1.8	0.001424	138.708	0.000262
1	110426_Sl4_Cl2_6to4	dend	49	0.700	0.3	1.8	0.001479	138.462	0.000252
1	110426_Sl4_Cl2_6to4	dend	54	0.500	0.3	1.8	0.001499	138.491	0.000242
1	110426_Sl4_Cl2_6to4	dend	54	1.000	0.3	1.8	0.001550	138.351	0.000243
1	110426_Sl4_Cl2_6to4	dend	55	0.167	0.3	1.8	0.001572	138.353	0.000245
1	110426_Sl4_Cl2_6to4	dend	55	0.500	0.3	1.8	0.001616	138.376	0.000249
1	110426_Sl4_Cl2_6to4	dend	55	0.833	0.3	1.8	0.001662	138.326	0.000250
1	110426_Sl4_Cl2_6to4	dend	55	1.000	0.3	1.8	0.001685	138.323	0.000251
1	110426_Sl4_Cl2_6to4	dend	5	0.100	0.3	1.8	0.001485	138.553	0.000252
1	110426_Sl4_Cl2_6to4	dend	5	0.167	0.3	1.8	0.001572	138.415	0.000254
1	110426_Sl4_Cl2_6to4	dend	62	0.500	0.3	1.8	0.001536	138.516	0.000250
1	110426_Sl4_Cl2_6to4	dend	62	1.000	0.3	1.8	0.001591	138.490	0.000250
1	110426_Sl4_Cl2_6to4	dend	63	1.000	0.3	1.8	0.001553	138.505	0.000250
