NUMBER_OF_SYNAPSES	fit_to_EPSP	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	TAU_1	TAU_2	WEIGHT	Spike_time	RMSD
5	081212_5to1	dend	58	0.5	apic	11	0.0454545454545	apic	17	0.0454545454545	dend	58	0.5	apic	17	0.136363636364	0.3	1.8	0.000344	255.381	0.001466
5	081212_5to1	apic	10	0.0454545454545	apic	16	0.115384615385	apic	30	1.0	dend	58	0.5	apic	5	0.5	0.3	1.8	0.000346	255.514	0.001457
5	081212_5to1	apic	30	1.0	apic	30	0.5	apic	10	0.0454545454545	apic	4	0.0454545454545	apic	3	1.0	0.3	1.8	0.000348	255.669	0.001458
5	081212_5to1	apic	5	0.5	apic	10	0.0454545454545	apic	5	0.5	apic	16	0.0384615384615	apic	4	0.0454545454545	0.3	1.8	0.000341	255.506	0.001471
5	081212_5to1	dend	58	0.5	apic	30	1.0	apic	10	0.0454545454545	apic	9	1.0	apic	16	0.115384615385	0.3	1.8	0.000350	255.483	0.001457
5	081212_5to1	apic	17	0.0454545454545	apic	5	0.5	apic	5	0.5	apic	17	0.136363636364	apic	17	0.0454545454545	0.3	1.8	0.000351	255.505	0.001462
5	081212_5to1	dend	58	0.5	apic	9	1.0	apic	16	0.0384615384615	apic	17	0.0454545454545	apic	9	1.0	0.3	1.8	0.000342	255.513	0.001471
5	081212_5to1	apic	30	1.0	apic	11	0.0454545454545	apic	10	0.0454545454545	apic	9	0.9	dend	58	0.5	0.3	1.8	0.000350	255.524	0.001463
5	081212_5to1	dend	58	0.5	apic	4	0.136363636364	apic	9	0.9	apic	9	1.0	dend	58	0.5	0.3	1.8	0.000337	255.510	0.001479
5	081212_5to1	apic	15	1.0	apic	16	0.0384615384615	apic	3	1.0	apic	3	1.0	apic	22	1.0	0.3	1.8	0.000340	255.712	0.001479
5	081212_5to1	apic	4	0.0454545454545	apic	5	0.5	apic	9	1.0	apic	16	0.115384615385	apic	22	1.0	0.3	1.8	0.000343	255.502	0.001463
5	081212_5to1	apic	4	0.0454545454545	apic	5	0.5	apic	10	0.0454545454545	apic	17	0.0454545454545	apic	17	0.136363636364	0.3	1.8	0.000343	255.519	0.001467
5	081212_5to1	apic	9	1.0	apic	30	1.0	apic	22	1.0	apic	11	0.0454545454545	apic	4	0.0454545454545	0.3	1.8	0.000350	255.666	0.001457
5	081212_5to1	apic	9	0.9	apic	17	0.136363636364	apic	10	0.0454545454545	apic	5	0.5	apic	9	1.0	0.3	1.8	0.000345	255.445	0.001472
5	081212_5to1	dend	58	0.5	apic	16	0.115384615385	apic	30	0.5	apic	16	0.115384615385	apic	11	0.0454545454545	0.3	1.8	0.000353	255.360	0.001453
5	081212_5to1	apic	5	0.5	apic	16	0.115384615385	apic	4	0.136363636364	apic	16	0.115384615385	apic	15	1.0	0.3	1.8	0.000352	255.540	0.001461
5	081212_5to1	apic	11	0.0454545454545	apic	17	0.136363636364	apic	9	0.9	apic	30	1.0	apic	9	1.0	0.3	1.8	0.000355	255.545	0.001458
5	081212_5to1	apic	16	0.0384615384615	apic	17	0.0454545454545	apic	9	1.0	apic	3	1.0	apic	3	1.0	0.3	1.8	0.000337	255.577	0.001477
5	081212_5to1	apic	17	0.0454545454545	apic	22	1.0	apic	3	1.0	dend	58	0.5	apic	22	1.0	0.3	1.8	0.000341	255.562	0.001471
5	081212_5to1	apic	9	0.9	dend	58	0.5	apic	3	1.0	apic	15	1.0	apic	15	1.0	0.3	1.8	0.000334	255.644	0.001480
5	081212_5to1	apic	11	0.0454545454545	apic	4	0.0454545454545	apic	5	0.5	apic	3	1.0	apic	4	0.136363636364	0.3	1.8	0.000342	255.507	0.001476
5	081212_5to1	apic	3	1.0	apic	22	1.0	apic	22	1.0	apic	3	1.0	apic	22	1.0	0.3	1.8	0.000345	255.768	0.001476
5	081212_5to1	dend	58	0.5	apic	16	0.115384615385	apic	9	1.0	apic	30	0.5	apic	4	0.0454545454545	0.3	1.8	0.000342	255.526	0.001461
5	081212_5to1	apic	4	0.0454545454545	apic	30	0.5	apic	11	0.0454545454545	apic	17	0.136363636364	apic	30	1.0	0.3	1.8	0.000354	255.592	0.001447
5	081212_5to1	apic	16	0.0384615384615	apic	22	1.0	apic	4	0.136363636364	apic	9	0.9	apic	30	0.5	0.3	1.8	0.000348	255.558	0.001459
