NUMBER_OF_SYNAPSES	fit_to_EPSP	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	TAU_1	TAU_2	WEIGHT	Spike_time	RMSD
5	100316_Cl4_5to2	dend	0	1.0	dend	0	1.0	dend	8	0.833333333333	apic	8	0.5	dend	7	0.5	0.3	1.8	0.000471	141.950	0.003043
5	100316_Cl4_5to2	dend	7	0.5	dend	49	0.3	dend	12	1.0	dend	6	0.5	apic	1	0.3	0.3	1.8	0.000466	141.927	0.003055
5	100316_Cl4_5to2	dend	52	1.0	dend	9	0.5	dend	29	0.277777777778	dend	11	0.833333333333	dend	9	0.5	0.3	1.8	0.000478	141.832	0.003100
5	100316_Cl4_5to2	dend	9	1.0	apic	0	1.0	dend	4	0.5	dend	11	0.5	dend	1	0.166666666667	0.3	1.8	0.000473	141.934	0.003060
5	100316_Cl4_5to2	dend	37	1.0	dend	38	0.0555555555556	dend	4	0.5	dend	10	0.5	dend	0	1.0	0.3	1.8	0.000469	141.910	0.003061
5	100316_Cl4_5to2	dend	7	0.5	apic	8	0.5	apic	3	0.166666666667	dend	1	0.166666666667	dend	49	0.3	0.3	1.8	0.000473	141.940	0.003018
5	100316_Cl4_5to2	dend	29	0.388888888889	apic	8	0.5	apic	1	0.1	apic	3	0.166666666667	dend	29	0.277777777778	0.3	1.8	0.000480	141.946	0.003057
5	100316_Cl4_5to2	dend	30	0.5	dend	6	0.5	dend	11	1.0	dend	42	0.5	apic	2	0.5	0.3	1.8	0.000470	141.929	0.003050
5	100316_Cl4_5to2	dend	29	0.277777777778	dend	11	0.833333333333	dend	29	0.388888888889	apic	1	0.1	dend	49	0.3	0.3	1.8	0.000474	141.843	0.003118
5	100316_Cl4_5to2	apic	2	1.0	dend	8	0.5	dend	12	1.0	dend	0	1.0	dend	11	0.5	0.3	1.8	0.000475	141.949	0.003049
5	100316_Cl4_5to2	apic	0	1.0	dend	9	0.5	apic	2	0.5	dend	29	0.388888888889	dend	11	0.5	0.3	1.8	0.000473	141.921	0.003079
5	100316_Cl4_5to2	apic	2	1.0	dend	64	0.5	dend	42	0.5	dend	9	0.5	apic	0	1.0	0.3	1.8	0.000468	141.933	0.003038
5	100316_Cl4_5to2	dend	64	0.5	dend	8	0.5	apic	1	0.9	dend	64	1.0	apic	1	0.9	0.3	1.8	0.000486	141.825	0.003069
5	100316_Cl4_5to2	apic	8	0.5	apic	1	0.7	apic	3	0.166666666667	dend	7	1.0	dend	0	1.0	0.3	1.8	0.000477	141.923	0.003011
5	100316_Cl4_5to2	apic	1	0.9	dend	10	1.0	apic	2	1.0	dend	1	0.166666666667	dend	30	0.5	0.3	1.8	0.000475	141.937	0.003047
5	100316_Cl4_5to2	dend	7	1.0	dend	4	1.0	dend	11	0.166666666667	dend	64	0.5	dend	8	0.166666666667	0.3	1.8	0.000474	141.948	0.003074
5	100316_Cl4_5to2	dend	29	0.277777777778	dend	29	0.388888888889	apic	1	0.5	dend	11	0.5	dend	9	1.0	0.3	1.8	0.000481	141.822	0.003121
5	100316_Cl4_5to2	apic	0	1.0	dend	10	0.5	dend	8	0.5	dend	10	1.0	dend	29	0.388888888889	0.3	1.8	0.000484	141.834	0.003097
5	100316_Cl4_5to2	dend	53	0.5	dend	9	1.0	dend	49	0.3	apic	2	0.5	dend	64	1.0	0.3	1.8	0.000470	141.890	0.003049
5	100316_Cl4_5to2	apic	8	0.5	dend	29	0.388888888889	apic	1	0.1	dend	8	1.0	apic	2	0.5	0.3	1.8	0.000475	141.931	0.003046
5	100316_Cl4_5to2	apic	1	1.0	dend	7	1.0	dend	53	0.5	apic	3	0.166666666667	dend	11	0.5	0.3	1.8	0.000481	141.789	0.003043
5	100316_Cl4_5to2	dend	6	1.0	dend	12	0.5	dend	11	0.166666666667	dend	11	0.5	dend	10	0.5	0.3	1.8	0.000487	141.850	0.003082
5	100316_Cl4_5to2	dend	29	0.277777777778	apic	1	0.7	apic	2	1.0	dend	30	0.5	dend	11	0.5	0.3	1.8	0.000472	141.946	0.003075
5	100316_Cl4_5to2	dend	49	0.3	dend	38	0.0555555555556	apic	1	0.7	dend	12	1.0	dend	42	0.5	0.3	1.8	0.000472	141.930	0.003050
5	100316_Cl4_5to2	apic	1	1.0	dend	4	1.0	apic	1	0.3	apic	1	0.7	dend	36	1.0	0.3	1.8	0.000483	141.950	0.003052
5	100316_Cl4_5to2	dend	49	0.3	dend	8	0.166666666667	dend	5	0.0333333333333	dend	8	0.833333333333	dend	37	0.5	0.3	1.8	0.000472	141.941	0.003061
5	100316_Cl4_5to2	dend	7	1.0	dend	49	0.3	dend	11	0.166666666667	dend	11	0.833333333333	dend	5	0.0333333333333	0.3	1.8	0.000481	141.948	0.003081
5	100316_Cl4_5to2	apic	2	0.5	dend	6	0.5	apic	2	0.5	apic	0	1.0	dend	11	0.833333333333	0.3	1.8	0.000469	142.043	0.003041
5	100316_Cl4_5to2	dend	11	1.0	dend	4	1.0	dend	6	0.5	dend	52	1.0	dend	64	0.5	0.3	1.8	0.000469	141.950	0.003067
5	100316_Cl4_5to2	dend	52	1.0	dend	37	1.0	dend	52	1.0	apic	0	1.0	dend	8	0.833333333333	0.3	1.8	0.000466	141.913	0.003058
5	100316_Cl4_5to2	apic	3	0.166666666667	dend	4	0.5	dend	9	1.0	dend	9	0.5	dend	11	0.833333333333	0.3	1.8	0.000485	141.925	0.003061
5	100316_Cl4_5to2	apic	0	1.0	dend	36	1.0	dend	11	0.166666666667	dend	7	0.5	dend	10	0.5	0.3	1.8	0.000473	141.914	0.003061
5	100316_Cl4_5to2	apic	1	0.7	dend	8	0.166666666667	dend	49	0.3	apic	1	0.5	dend	12	0.5	0.3	1.8	0.000475	141.940	0.003055
5	100316_Cl4_5to2	dend	12	1.0	dend	9	1.0	dend	6	0.5	dend	29	0.388888888889	dend	6	1.0	0.3	1.8	0.000470	141.948	0.003093
5	100316_Cl4_5to2	dend	37	1.0	apic	1	0.5	dend	1	0.166666666667	dend	30	0.5	dend	12	0.5	0.3	1.8	0.000467	141.919	0.003053
5	100316_Cl4_5to2	dend	6	0.5	dend	38	0.0555555555556	apic	2	0.5	apic	0	1.0	apic	1	0.7	0.3	1.8	0.000468	141.901	0.003043
5	100316_Cl4_5to2	dend	10	1.0	apic	1	0.5	dend	6	0.5	dend	11	0.166666666667	dend	9	1.0	0.3	1.8	0.000486	141.848	0.003073
5	100316_Cl4_5to2	dend	11	1.0	dend	42	0.5	apic	1	1.0	dend	7	0.5	dend	8	0.833333333333	0.3	1.8	0.000483	141.799	0.003068
5	100316_Cl4_5to2	dend	9	1.0	dend	30	0.5	dend	6	0.5	apic	8	0.5	dend	36	1.0	0.3	1.8	0.000467	141.941	0.003043
5	100316_Cl4_5to2	dend	11	1.0	apic	1	0.7	apic	3	0.166666666667	apic	1	0.9	apic	2	1.0	0.3	1.8	0.000492	141.949	0.003031
5	100316_Cl4_5to2	dend	42	0.5	dend	12	0.5	dend	12	0.5	apic	1	1.0	dend	8	0.5	0.3	1.8	0.000474	141.948	0.003055
5	100316_Cl4_5to2	dend	64	1.0	dend	38	0.0555555555556	apic	2	0.5	dend	37	0.5	dend	30	0.5	0.3	1.8	0.000467	141.941	0.003053
5	100316_Cl4_5to2	dend	53	0.5	dend	49	0.3	dend	0	1.0	dend	4	0.5	dend	11	0.5	0.3	1.8	0.000467	141.936	0.003060
5	100316_Cl4_5to2	dend	11	0.166666666667	dend	7	1.0	dend	42	0.5	dend	1	0.166666666667	dend	64	1.0	0.3	1.8	0.000473	141.947	0.003076
5	100316_Cl4_5to2	apic	1	0.9	apic	0	1.0	dend	8	1.0	dend	29	0.277777777778	dend	49	0.3	0.3	1.8	0.000471	141.926	0.003077
