NUMBER_OF_SYNAPSES	fit_to_EPSP	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	TAU_1	TAU_2	WEIGHT	Spike_time	RMSD
5	110322_Cl3_Cl1_1to6	apic	30	0.5	apic	23	0.5	apic	30	1.0	apic	30	1.0	apic	30	0.5	0.3	1.8	0.002504	138.452	0.008096
5	110322_Cl3_Cl1_1to6	apic	30	0.5	apic	23	0.5	apic	30	0.5	apic	30	1.0	apic	31	0.1	0.3	1.8	0.002521	138.460	0.008098
5	110322_Cl3_Cl1_1to6	apic	46	0.166666666667	apic	46	0.166666666667	apic	23	0.5	apic	46	0.166666666667	apic	23	0.5	0.3	1.8	0.002637	138.365	0.008164
5	110322_Cl3_Cl1_1to6	apic	31	0.1	apic	46	0.166666666667	apic	46	0.166666666667	apic	23	0.5	apic	30	0.5	0.3	1.8	0.002583	138.429	0.008117
5	110322_Cl3_Cl1_1to6	apic	31	0.1	apic	31	0.1	apic	30	0.5	apic	31	0.1	apic	31	0.1	0.3	1.8	0.002835	138.369	0.008150
5	110322_Cl3_Cl1_1to6	apic	46	0.166666666667	apic	46	0.166666666667	apic	30	0.5	apic	30	0.5	apic	30	0.5	0.3	1.8	0.002562	138.452	0.008094
5	110322_Cl3_Cl1_1to6	apic	30	0.5	apic	31	0.1	apic	30	1.0	apic	31	0.1	apic	30	0.5	0.3	1.8	0.002619	138.523	0.008107
5	110322_Cl3_Cl1_1to6	apic	46	0.166666666667	apic	30	1.0	apic	23	0.5	apic	31	0.1	apic	30	1.0	0.3	1.8	0.002603	138.362	0.008118
5	110322_Cl3_Cl1_1to6	apic	46	0.166666666667	apic	46	0.166666666667	apic	46	0.166666666667	apic	23	0.5	apic	23	0.5	0.3	1.8	0.002637	138.365	0.008164
5	110322_Cl3_Cl1_1to6	apic	46	0.166666666667	apic	31	0.1	apic	30	1.0	apic	31	0.1	apic	30	1.0	0.3	1.8	0.002732	138.437	0.008136
5	110322_Cl3_Cl1_1to6	apic	30	1.0	apic	46	0.166666666667	apic	30	0.5	apic	46	0.166666666667	apic	31	0.1	0.3	1.8	0.002653	138.351	0.008120
5	110322_Cl3_Cl1_1to6	apic	31	0.1	apic	30	1.0	apic	30	0.5	apic	23	0.5	apic	31	0.1	0.3	1.8	0.002592	138.361	0.008118
5	110322_Cl3_Cl1_1to6	apic	23	0.5	apic	23	0.5	apic	31	0.1	apic	23	0.5	apic	31	0.1	0.3	1.8	0.002683	138.351	0.008170
5	110322_Cl3_Cl1_1to6	apic	30	1.0	apic	23	0.5	apic	30	1.0	apic	30	0.5	apic	30	1.0	0.3	1.8	0.002535	138.535	0.008102
5	110322_Cl3_Cl1_1to6	apic	30	1.0	apic	30	0.5	apic	23	0.5	apic	30	1.0	apic	46	0.166666666667	0.3	1.8	0.002543	138.456	0.008117
5	110322_Cl3_Cl1_1to6	apic	30	0.5	apic	30	0.5	apic	31	0.1	apic	30	0.5	apic	23	0.5	0.3	1.8	0.002501	138.474	0.008098
5	110322_Cl3_Cl1_1to6	apic	23	0.5	apic	31	0.1	apic	31	0.1	apic	30	0.5	apic	30	0.5	0.3	1.8	0.002561	138.516	0.008114
5	110322_Cl3_Cl1_1to6	apic	30	1.0	apic	23	0.5	apic	31	0.1	apic	30	0.5	apic	46	0.166666666667	0.3	1.8	0.002561	138.351	0.008120
5	110322_Cl3_Cl1_1to6	apic	30	1.0	apic	23	0.5	apic	31	0.1	apic	31	0.1	apic	30	0.5	0.3	1.8	0.002592	138.361	0.008118
5	110322_Cl3_Cl1_1to6	apic	30	0.5	apic	30	0.5	apic	30	1.0	apic	30	1.0	apic	23	0.5	0.3	1.8	0.002504	138.452	0.008096
