NUMBER_OF_SYNAPSES	fit_to_EPSP	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	SEC_List	Sec_Index	Sec_Seg	TAU_1	TAU_2	WEIGHT	Spike_time	RMSD
5	110426_Sl4_Cl2_4to6	apic	5	1.0	apic	10	0.227272727273	apic	31	0.1	apic	4	0.318181818182	apic	11	0.227272727273	0.3	1.8	0.000698	138.652	0.000825
5	110426_Sl4_Cl2_4to6	apic	17	0.409090909091	dend	58	0.833333333333	apic	10	0.136363636364	apic	5	1.0	apic	16	0.269230769231	0.3	1.8	0.000688	138.589	0.000835
5	110426_Sl4_Cl2_4to6	apic	7	0.277777777778	apic	10	0.227272727273	apic	10	0.227272727273	apic	7	0.277777777778	apic	10	0.227272727273	0.3	1.8	0.000764	138.457	0.000860
5	110426_Sl4_Cl2_4to6	apic	6	0.136363636364	apic	17	0.318181818182	apic	6	0.136363636364	apic	11	0.136363636364	apic	7	0.277777777778	0.3	1.8	0.000721	138.509	0.000854
5	110426_Sl4_Cl2_4to6	dend	58	0.5	apic	17	0.318181818182	apic	31	0.1	apic	16	0.0384615384615	apic	4	0.409090909091	0.3	1.8	0.000692	138.799	0.000809
5	110426_Sl4_Cl2_4to6	apic	4	0.409090909091	apic	10	0.136363636364	apic	4	0.136363636364	apic	10	0.136363636364	apic	17	0.227272727273	0.3	1.8	0.000699	138.738	0.000843
5	110426_Sl4_Cl2_4to6	apic	4	0.318181818182	apic	6	0.0454545454545	apic	7	0.0555555555556	apic	11	0.136363636364	apic	23	0.5	0.3	1.8	0.000693	138.777	0.000825
5	110426_Sl4_Cl2_4to6	apic	4	0.318181818182	apic	10	0.136363636364	apic	4	0.318181818182	apic	6	0.0454545454545	dend	58	0.5	0.3	1.8	0.000687	138.748	0.000844
5	110426_Sl4_Cl2_4to6	apic	4	0.136363636364	apic	16	0.192307692308	apic	23	0.5	apic	6	0.136363636364	apic	16	0.269230769231	0.3	1.8	0.000712	138.761	0.000817
5	110426_Sl4_Cl2_4to6	apic	7	0.277777777778	apic	17	0.409090909091	apic	4	0.318181818182	dend	58	0.833333333333	apic	6	0.0454545454545	0.3	1.8	0.000701	138.487	0.000851
5	110426_Sl4_Cl2_4to6	apic	7	0.166666666667	apic	5	0.5	apic	17	0.409090909091	apic	31	0.1	apic	10	0.136363636364	0.3	1.8	0.000697	138.750	0.000818
5	110426_Sl4_Cl2_4to6	apic	4	0.136363636364	apic	4	0.227272727273	apic	4	0.318181818182	apic	16	0.269230769231	dend	58	0.5	0.3	1.8	0.000703	138.759	0.000836
5	110426_Sl4_Cl2_4to6	apic	17	0.409090909091	apic	17	0.409090909091	apic	4	0.227272727273	apic	16	0.115384615385	apic	46	0.166666666667	0.3	1.8	0.000743	138.680	0.000811
5	110426_Sl4_Cl2_4to6	apic	5	0.5	apic	4	0.136363636364	apic	16	0.269230769231	apic	10	0.227272727273	dend	58	0.833333333333	0.3	1.8	0.000672	138.790	0.000837
5	110426_Sl4_Cl2_4to6	apic	4	0.318181818182	apic	17	0.409090909091	apic	7	0.166666666667	apic	31	0.1	apic	46	0.166666666667	0.3	1.8	0.000722	138.722	0.000804
5	110426_Sl4_Cl2_4to6	apic	11	0.136363636364	apic	23	0.5	apic	17	0.227272727273	apic	11	0.227272727273	apic	17	0.409090909091	0.3	1.8	0.000730	138.691	0.000817
5	110426_Sl4_Cl2_4to6	apic	17	0.318181818182	dend	58	0.833333333333	apic	17	0.318181818182	apic	7	0.166666666667	apic	17	0.136363636364	0.3	1.8	0.000731	138.555	0.000832
5	110426_Sl4_Cl2_4to6	apic	7	0.166666666667	apic	5	1.0	apic	7	0.166666666667	apic	5	0.5	apic	46	0.166666666667	0.3	1.8	0.000735	138.782	0.000820
5	110426_Sl4_Cl2_4to6	apic	16	0.0384615384615	apic	5	1.0	apic	7	0.166666666667	apic	16	0.192307692308	apic	5	1.0	0.3	1.8	0.000706	138.819	0.000829
5	110426_Sl4_Cl2_4to6	apic	17	0.227272727273	apic	6	0.136363636364	apic	4	0.227272727273	apic	16	0.269230769231	apic	16	0.192307692308	0.3	1.8	0.000723	138.626	0.000836
5	110426_Sl4_Cl2_4to6	apic	10	0.136363636364	apic	7	0.166666666667	apic	10	0.227272727273	apic	23	0.5	apic	31	0.1	0.3	1.8	0.000711	138.770	0.000804
5	110426_Sl4_Cl2_4to6	apic	4	0.227272727273	apic	16	0.269230769231	apic	17	0.136363636364	apic	6	0.136363636364	apic	23	0.5	0.3	1.8	0.000701	138.787	0.000816
5	110426_Sl4_Cl2_4to6	apic	17	0.227272727273	apic	7	0.277777777778	apic	11	0.227272727273	apic	46	0.166666666667	apic	17	0.136363636364	0.3	1.8	0.000712	138.659	0.000813
5	110426_Sl4_Cl2_4to6	apic	4	0.409090909091	apic	4	0.409090909091	apic	4	0.227272727273	apic	4	0.136363636364	apic	23	0.5	0.3	1.8	0.000772	138.833	0.000829
5	110426_Sl4_Cl2_4to6	apic	4	0.136363636364	apic	31	0.1	apic	4	0.227272727273	apic	5	1.0	apic	10	0.227272727273	0.3	1.8	0.000698	138.768	0.000824
5	110426_Sl4_Cl2_4to6	apic	4	0.318181818182	apic	17	0.409090909091	apic	16	0.115384615385	apic	7	0.166666666667	apic	10	0.136363636364	0.3	1.8	0.000695	138.641	0.000839
5	110426_Sl4_Cl2_4to6	apic	6	0.0454545454545	apic	4	0.409090909091	apic	5	0.5	apic	17	0.227272727273	apic	16	0.269230769231	0.3	1.8	0.000703	138.720	0.000836
5	110426_Sl4_Cl2_4to6	apic	11	0.227272727273	dend	58	0.5	apic	7	0.0555555555556	apic	17	0.409090909091	apic	7	0.277777777778	0.3	1.8	0.000688	138.623	0.000841
5	110426_Sl4_Cl2_4to6	apic	4	0.227272727273	apic	7	0.166666666667	apic	16	0.269230769231	apic	5	1.0	apic	5	1.0	0.3	1.8	0.000718	138.723	0.000842
5	110426_Sl4_Cl2_4to6	apic	5	0.5	apic	31	0.1	apic	31	0.1	apic	10	0.136363636364	apic	7	0.166666666667	0.3	1.8	0.000703	138.900	0.000804
5	110426_Sl4_Cl2_4to6	apic	7	0.0555555555556	apic	17	0.136363636364	apic	6	0.0454545454545	apic	11	0.136363636364	apic	17	0.227272727273	0.3	1.8	0.000695	138.731	0.000835
5	110426_Sl4_Cl2_4to6	apic	4	0.136363636364	apic	7	0.0555555555556	apic	31	0.1	apic	31	0.1	apic	5	0.5	0.3	1.8	0.000707	138.978	0.000809
5	110426_Sl4_Cl2_4to6	dend	58	0.5	apic	6	0.136363636364	apic	17	0.227272727273	apic	6	0.0454545454545	apic	5	1.0	0.3	1.8	0.000693	138.754	0.000837
5	110426_Sl4_Cl2_4to6	apic	4	0.409090909091	apic	11	0.227272727273	apic	16	0.0384615384615	apic	16	0.0384615384615	apic	17	0.318181818182	0.3	1.8	0.000703	138.704	0.000831
5	110426_Sl4_Cl2_4to6	apic	23	0.5	apic	7	0.166666666667	apic	10	0.136363636364	apic	16	0.269230769231	apic	16	0.269230769231	0.3	1.8	0.000719	138.727	0.000818
5	110426_Sl4_Cl2_4to6	apic	11	0.227272727273	apic	7	0.0555555555556	apic	7	0.277777777778	apic	23	0.5	apic	11	0.227272727273	0.3	1.8	0.000715	138.701	0.000829
5	110426_Sl4_Cl2_4to6	apic	6	0.0454545454545	apic	16	0.115384615385	apic	11	0.227272727273	dend	58	0.5	apic	4	0.318181818182	0.3	1.8	0.000670	138.780	0.000838
5	110426_Sl4_Cl2_4to6	apic	17	0.318181818182	dend	58	0.833333333333	apic	17	0.227272727273	apic	4	0.136363636364	apic	16	0.192307692308	0.3	1.8	0.000707	138.730	0.000825
5	110426_Sl4_Cl2_4to6	apic	16	0.192307692308	apic	5	1.0	apic	11	0.227272727273	apic	4	0.318181818182	apic	46	0.166666666667	0.3	1.8	0.000695	138.681	0.000819
5	110426_Sl4_Cl2_4to6	apic	46	0.166666666667	apic	17	0.409090909091	apic	23	0.5	apic	4	0.318181818182	dend	58	0.5	0.3	1.8	0.000698	138.797	0.000798
5	110426_Sl4_Cl2_4to6	apic	4	0.136363636364	apic	7	0.277777777778	dend	58	0.833333333333	apic	17	0.318181818182	apic	16	0.0384615384615	0.3	1.8	0.000682	138.653	0.000830
5	110426_Sl4_Cl2_4to6	apic	6	0.0454545454545	apic	6	0.0454545454545	dend	58	0.833333333333	apic	5	0.5	apic	4	0.136363636364	0.3	1.8	0.000695	138.751	0.000838
5	110426_Sl4_Cl2_4to6	apic	4	0.136363636364	apic	4	0.227272727273	apic	10	0.227272727273	apic	17	0.409090909091	dend	58	0.833333333333	0.3	1.8	0.000687	138.672	0.000841
5	110426_Sl4_Cl2_4to6	apic	4	0.409090909091	apic	16	0.0384615384615	apic	6	0.0454545454545	apic	4	0.136363636364	apic	7	0.277777777778	0.3	1.8	0.000705	138.800	0.000840
5	110426_Sl4_Cl2_4to6	apic	4	0.409090909091	apic	17	0.318181818182	apic	10	0.136363636364	apic	4	0.409090909091	apic	16	0.269230769231	0.3	1.8	0.000727	138.511	0.000846
5	110426_Sl4_Cl2_4to6	apic	11	0.227272727273	dend	58	0.5	apic	5	0.5	apic	5	1.0	apic	4	0.227272727273	0.3	1.8	0.000668	138.795	0.000845
5	110426_Sl4_Cl2_4to6	apic	4	0.136363636364	apic	17	0.409090909091	apic	5	0.5	apic	31	0.1	dend	58	0.5	0.3	1.8	0.000679	138.917	0.000816
5	110426_Sl4_Cl2_4to6	apic	17	0.227272727273	apic	4	0.318181818182	apic	46	0.166666666667	apic	7	0.0555555555556	apic	16	0.192307692308	0.3	1.8	0.000705	138.766	0.000814
5	110426_Sl4_Cl2_4to6	apic	5	0.5	apic	16	0.115384615385	apic	4	0.227272727273	apic	16	0.269230769231	apic	4	0.227272727273	0.3	1.8	0.000710	138.784	0.000831
5	110426_Sl4_Cl2_4to6	apic	16	0.192307692308	apic	16	0.0384615384615	apic	7	0.0555555555556	apic	11	0.227272727273	apic	17	0.409090909091	0.3	1.8	0.000704	138.659	0.000829
5	110426_Sl4_Cl2_4to6	apic	4	0.227272727273	apic	7	0.166666666667	apic	6	0.136363636364	apic	16	0.192307692308	dend	58	0.5	0.3	1.8	0.000685	138.650	0.000834
5	110426_Sl4_Cl2_4to6	apic	4	0.227272727273	dend	58	0.5	apic	16	0.269230769231	apic	4	0.409090909091	apic	10	0.227272727273	0.3	1.8	0.000690	138.667	0.000840
5	110426_Sl4_Cl2_4to6	apic	4	0.318181818182	apic	17	0.136363636364	apic	7	0.0555555555556	apic	46	0.166666666667	apic	6	0.0454545454545	0.3	1.8	0.000702	138.766	0.000815
5	110426_Sl4_Cl2_4to6	apic	4	0.318181818182	apic	5	0.5	apic	7	0.277777777778	dend	58	0.5	apic	17	0.409090909091	0.3	1.8	0.000686	138.687	0.000837
5	110426_Sl4_Cl2_4to6	apic	23	0.5	apic	7	0.166666666667	apic	7	0.166666666667	apic	5	0.5	apic	4	0.318181818182	0.3	1.8	0.000719	138.754	0.000823
5	110426_Sl4_Cl2_4to6	apic	16	0.0384615384615	apic	16	0.0384615384615	apic	16	0.269230769231	apic	5	1.0	apic	11	0.227272727273	0.3	1.8	0.000698	138.769	0.000826
