secanme	x	soma_distance	rise_time	half_width
cell0603_08_model_cm_0_45[0].soma[0]	0.5	11.0793569198	1.69	9.53
cell0603_08_model_cm_0_45[0].soma[0]	1.0	22.1587138397	1.69	9.53
cell0603_08_model_cm_0_45[0].dend[0]	0.5	23.3739223227	1.84	10.27
cell0603_08_model_cm_0_45[0].dend[0]	1.0	35.6684877255	2.01	11.0
cell0603_08_model_cm_0_45[0].dend[1]	0.166666666667	43.0111353827	2.2	11.73
cell0603_08_model_cm_0_45[0].dend[1]	0.5	57.696430697	2.72	13.01
cell0603_08_model_cm_0_45[0].dend[1]	0.833333333333	72.3817260113	3.37	13.91
cell0603_08_model_cm_0_45[0].dend[1]	1.0	79.7243736685	3.68	14.21
cell0603_08_model_cm_0_45[0].dend[2]	0.0555555555556	90.476723815	3.91	14.4
cell0603_08_model_cm_0_45[0].dend[2]	0.166666666667	111.981424108	4.28	14.67
cell0603_08_model_cm_0_45[0].dend[2]	0.277777777778	133.486124401	4.58	14.83
cell0603_08_model_cm_0_45[0].dend[2]	0.388888888889	154.990824694	4.82	14.9
cell0603_08_model_cm_0_45[0].dend[2]	0.5	176.495524987	5.0	14.95
cell0603_08_model_cm_0_45[0].dend[2]	0.611111111111	198.00022528	5.14	14.97
cell0603_08_model_cm_0_45[0].dend[2]	0.722222222222	219.504925573	5.25	14.99
cell0603_08_model_cm_0_45[0].dend[2]	0.833333333333	241.009625866	5.32	15.01
cell0603_08_model_cm_0_45[0].dend[2]	0.944444444444	262.514326159	5.36	15.01
cell0603_08_model_cm_0_45[0].dend[2]	1.0	273.266676305	5.37	15.02
cell0603_08_model_cm_0_45[0].dend[3]	0.0555555555556	89.6598563336	3.87	14.36
cell0603_08_model_cm_0_45[0].dend[3]	0.166666666667	109.530821664	4.19	14.55
cell0603_08_model_cm_0_45[0].dend[3]	0.277777777778	129.401786994	4.44	14.67
cell0603_08_model_cm_0_45[0].dend[3]	0.388888888889	149.272752325	4.64	14.72
cell0603_08_model_cm_0_45[0].dend[3]	0.5	169.143717655	4.8	14.76
cell0603_08_model_cm_0_45[0].dend[3]	0.611111111111	189.014682985	4.92	14.78
cell0603_08_model_cm_0_45[0].dend[3]	0.722222222222	208.885648315	5.01	14.79
cell0603_08_model_cm_0_45[0].dend[3]	0.833333333333	228.756613646	5.07	14.81
cell0603_08_model_cm_0_45[0].dend[3]	0.944444444444	248.627578976	5.11	14.82
cell0603_08_model_cm_0_45[0].dend[3]	1.0	258.563061641	5.11	14.83
cell0603_08_model_cm_0_45[0].dend[4]	0.5	38.3683863432	2.04	11.12
cell0603_08_model_cm_0_45[0].dend[4]	1.0	41.0682849609	2.07	11.24
cell0603_08_model_cm_0_45[0].dend[5]	0.0333333333333	50.6255748618	2.24	11.81
cell0603_08_model_cm_0_45[0].dend[5]	0.1	69.7401546634	2.62	12.84
cell0603_08_model_cm_0_45[0].dend[5]	0.166666666667	88.8547344651	3.07	13.69
cell0603_08_model_cm_0_45[0].dend[5]	0.233333333333	107.969314267	3.55	14.32
cell0603_08_model_cm_0_45[0].dend[5]	0.3	127.083894068	4.0	14.78
cell0603_08_model_cm_0_45[0].dend[5]	0.366666666667	146.19847387	4.38	15.09
cell0603_08_model_cm_0_45[0].dend[5]	0.433333333333	165.313053672	4.71	15.28
cell0603_08_model_cm_0_45[0].dend[5]	0.5	184.427633473	4.97	15.4
cell0603_08_model_cm_0_45[0].dend[5]	0.566666666667	203.542213275	5.19	15.47
cell0603_08_model_cm_0_45[0].dend[5]	0.633333333333	222.656793077	5.36	15.52
cell0603_08_model_cm_0_45[0].dend[5]	0.7	241.771372879	5.5	15.54
cell0603_08_model_cm_0_45[0].dend[5]	0.766666666667	260.88595268	5.61	15.56
cell0603_08_model_cm_0_45[0].dend[5]	0.833333333333	280.000532482	5.69	15.56
cell0603_08_model_cm_0_45[0].dend[5]	0.9	299.115112284	5.74	15.57
cell0603_08_model_cm_0_45[0].dend[5]	0.966666666667	318.229692085	5.78	15.58
cell0603_08_model_cm_0_45[0].dend[5]	1.0	327.786981986	5.78	15.59
