Spine,shaft_name,shaft_x,max_soma_v,max_shaft_v,max_spine_v,soma_v_integ,shaft_v_integ,spine_v_integ,ir_shaft,z_shaft,dist_shaft
1,cell1303_03_model_cm_0_43[0].soma[0],0.500,-85.5474,-85.5474,-81.4543,339.132,339.132,780.395,45.8834,6.52195,0
0,cell1303_03_model_cm_0_43[0].soma[0],0.500,-85.5288,-85.5288,0,349.748,349.748,0,45.8834,6.52195,0
1,cell1303_03_model_cm_0_43[0].soma[0],1.000,-85.5476,-85.5013,-81.3918,338.971,345.914,786.969,46.8064,7.23893,17.0804
0,cell1303_03_model_cm_0_43[0].soma[0],1.000,-85.5291,-85.48,0,349.575,356.735,0,46.8064,7.23893,17.0804
1,cell1303_03_model_cm_0_43[0].dend[0],0.500,-85.5545,-85.4616,-81.3513,337.893,351.816,792.715,47.6076,7.86009,8.25587
0,cell1303_03_model_cm_0_43[0].dend[0],0.500,-85.5364,-85.4383,0,348.458,362.816,0,47.6076,7.86009,8.25587
1,cell1303_03_model_cm_0_43[0].dend[0],1.000,-85.5611,-85.3693,-81.2545,336.69,364.464,805.009,49.3286,9.27234,16.5117
0,cell1303_03_model_cm_0_43[0].dend[0],1.000,-85.5435,-85.341,0,347.204,375.846,0,49.3286,9.27234,16.5117
1,cell1303_03_model_cm_0_43[0].dend[1],0.500,-85.5644,-85.2982,-81.1807,336.03,373.762,814.042,50.596,10.3497,22.3409
0,cell1303_03_model_cm_0_43[0].dend[1],0.500,-85.5471,-85.2662,0,346.514,385.423,0,50.596,10.3497,22.3409
1,cell1303_03_model_cm_0_43[0].dend[1],1.000,-85.5677,-85.2266,-81.1089,335.385,383.052,823.071,51.8635,11.4385,28.17
0,cell1303_03_model_cm_0_43[0].dend[1],1.000,-85.5506,-85.1909,0,345.841,394.992,0,51.8635,11.4385,28.17
1,cell1303_03_model_cm_0_43[0].dend[2],0.500,-85.5686,-85.1693,-81.0516,335.102,390.061,829.876,52.8217,12.3034,30.2385
0,cell1303_03_model_cm_0_43[0].dend[2],0.500,-85.5516,-85.1307,0,345.541,402.211,0,52.8217,12.3034,30.2385
1,cell1303_03_model_cm_0_43[0].dend[2],1.000,-85.5695,-85.1118,-80.9949,334.821,397.064,836.675,53.7798,13.1755,32.3071
0,cell1303_03_model_cm_0_43[0].dend[2],1.000,-85.5526,-85.0702,0,345.244,409.423,0,53.7798,13.1755,32.3071
1,cell1303_03_model_cm_0_43[0].dend[3],0.500,-85.5842,-83.2553,-79.2918,327.749,619.818,1053.09,84.7009,42.7787,49.9444
0,cell1303_03_model_cm_0_43[0].dend[3],0.500,-85.5686,-83.1258,0,337.734,638.694,0,84.7009,42.7787,49.9444
1,cell1303_03_model_cm_0_43[0].dend[3],1.000,-85.5949,-81.5413,-77.7815,321.695,836.349,1263.78,115.55,72.3798,67.5818
0,cell1303_03_model_cm_0_43[0].dend[3],1.000,-85.58,-81.3364,0,331.302,861.316,0,115.55,72.3798,67.5818
1,cell1303_03_model_cm_0_43[0].dend[4],0.167,-85.602,-80.1704,-76.5374,317.276,1009.8,1432.59,140.868,96.7193,80.1987
0,cell1303_03_model_cm_0_43[0].dend[4],0.167,-85.5877,-79.9064,0,326.6,1039.46,0,140.868,96.7193,80.1987
1,cell1303_03_model_cm_0_43[0].dend[4],0.500,-85.6145,-77.5002,-74.0424,309.281,1346.83,1760.56,191.698,145.781,105.432
0,cell1303_03_model_cm_0_43[0].dend[4],0.500,-85.6011,-77.1241,0,318.08,1385.13,0,191.698,145.781,105.432
1,cell1303_03_model_cm_0_43[0].dend[4],0.833,-85.6256,-74.9198,-71.5537,301.958,1671.35,2076.08,242.963,195.593,130.666
0,cell1303_03_model_cm_0_43[0].dend[4],0.833,-85.6131,-74.4385,0,310.263,1717.29,0,242.963,195.593,130.666
1,cell1303_03_model_cm_0_43[0].dend[4],1.000,-85.6309,-73.6624,-70.306,298.452,1829.65,2229.68,269.009,221.011,143.283
0,cell1303_03_model_cm_0_43[0].dend[4],1.000,-85.6187,-73.1347,0,306.515,1879.04,0,269.009,221.011,143.283
1,cell1303_03_model_cm_0_43[0].dend[5],0.500,-85.6034,-79.587,-75.8812,316.142,1066.39,1487.16,149.426,105.517,84.2033
0,cell1303_03_model_cm_0_43[0].dend[5],0.500,-85.5892,-79.2935,0,325.361,1097.47,0,149.426,105.517,84.2033
1,cell1303_03_model_cm_0_43[0].dend[5],1.000,-85.6111,-77.6507,-73.9686,311.055,1291.51,1705.51,183.738,139.282,100.825
0,cell1303_03_model_cm_0_43[0].dend[5],1.000,-85.5976,-77.2742,0,319.903,1328.22,0,183.738,139.282,100.825
1,cell1303_03_model_cm_0_43[0].dend[6],0.071,-85.5955,-82.4341,-78.4364,325.344,718.596,1148.99,98.7174,55.1868,43.7271
0,cell1303_03_model_cm_0_43[0].dend[6],0.071,-85.5807,-82.2621,0,335.156,740.261,0,98.7174,55.1868,43.7271
1,cell1303_03_model_cm_0_43[0].dend[6],0.214,-85.6299,-78.4472,-74.7998,309.892,1320.14,1735.45,187.202,132.506,66.5672
0,cell1303_03_model_cm_0_43[0].dend[6],0.214,-85.6175,-78.11,0,318.768,1357.93,0,187.202,132.506,66.5672
1,cell1303_03_model_cm_0_43[0].dend[6],0.357,-85.6514,-75.3342,-72.1149,297.572,1881.08,2284.25,274.396,204.218,89.4073
0,cell1303_03_model_cm_0_43[0].dend[6],0.357,-85.6404,-74.893,0,305.749,1932.73,0,274.396,204.218,89.4073
1,cell1303_03_model_cm_0_43[0].dend[6],0.500,-85.667,-72.3896,-69.5598,287.198,2411.65,2804.2,361.057,274.699,112.247
0,cell1303_03_model_cm_0_43[0].dend[6],0.500,-85.6569,-71.8549,0,294.801,2475.44,0,361.057,274.699,112.247
1,cell1303_03_model_cm_0_43[0].dend[6],0.643,-85.6798,-69.4463,-66.8613,277.902,2915.63,3298,447.94,346.638,135.087
0,cell1303_03_model_cm_0_43[0].dend[6],0.643,-85.6704,-68.8135,0,284.984,2989.86,0,447.94,346.638,135.087
1,cell1303_03_model_cm_0_43[0].dend[6],0.786,-85.6915,-66.5553,-64.0876,269.056,3392.51,3764.36,535.802,421.435,157.928
0,cell1303_03_model_cm_0_43[0].dend[6],0.786,-85.6828,-65.8286,0,275.622,3475.23,0,535.802,421.435,157.928
1,cell1303_03_model_cm_0_43[0].dend[6],0.929,-85.7029,-63.8014,-61.3584,260.258,3839.79,4200.28,625.407,499.895,180.768
0,cell1303_03_model_cm_0_43[0].dend[6],0.929,-85.695,-62.9967,0,266.297,3928.79,0,625.407,499.895,180.768
1,cell1303_03_model_cm_0_43[0].dend[6],1.000,-85.7087,-62.4982,-60.0312,255.724,4051.22,4405.43,671.471,541.092,192.188
0,cell1303_03_model_cm_0_43[0].dend[6],1.000,-85.7011,-61.6653,0,261.49,4142.46,0,671.471,541.092,192.188
1,cell1303_03_model_cm_0_43[0].dend[7],0.500,-85.6253,-83.169,-79.1616,321.776,667.124,1099.77,91.2332,43.6601,43.5679
0,cell1303_03_model_cm_0_43[0].dend[7],0.500,-85.6119,-83.0337,0,331.562,687.405,0,91.2332,43.6601,43.5679
1,cell1303_03_model_cm_0_43[0].dend[7],1.000,-85.6634,-81.9322,-78.1572,310.602,934.49,1362,128.989,67.1757,58.9659
0,cell1303_03_model_cm_0_43[0].dend[7],1.000,-85.6522,-81.7493,0,319.9,962.451,0,128.989,67.1757,58.9659
1,cell1303_03_model_cm_0_43[0].dend[8],0.100,-85.6686,-80.6331,-76.9593,306.409,1103.3,1526.29,153.757,89.7937,68.1672
0,cell1303_03_model_cm_0_43[0].dend[8],0.100,-85.6578,-80.3933,0,315.439,1135.79,0,153.757,89.7937,68.1672
1,cell1303_03_model_cm_0_43[0].dend[8],0.300,-85.678,-78.1357,-74.6693,298.793,1431,1845.46,203.273,135.646,86.5697
0,cell1303_03_model_cm_0_43[0].dend[8],0.300,-85.6678,-77.7916,0,307.337,1471.89,0,203.273,135.646,86.5697
1,cell1303_03_model_cm_0_43[0].dend[8],0.500,-85.6864,-75.729,-72.424,291.887,1746.53,2152.86,252.854,182.103,104.972
0,cell1303_03_model_cm_0_43[0].dend[8],0.500,-85.6768,-75.2873,0,299.989,1794.98,0,252.854,182.103,104.972
1,cell1303_03_model_cm_0_43[0].dend[8],0.700,-85.6941,-73.3961,-70.1981,285.441,2050.9,2449.21,302.734,229.32,123.375
0,cell1303_03_model_cm_0_43[0].dend[8],0.700,-85.685,-72.8632,0,293.126,2106.07,0,302.734,229.32,123.375
1,cell1303_03_model_cm_0_43[0].dend[8],0.900,-85.7014,-71.1475,-68.0089,279.276,2344.48,2734.66,353.145,277.478,141.777
0,cell1303_03_model_cm_0_43[0].dend[8],0.900,-85.6928,-70.5331,0,286.556,2405.54,0,353.145,277.478,141.777
1,cell1303_03_model_cm_0_43[0].dend[8],1.000,-85.7049,-70.0577,-66.9286,276.246,2487.51,2873.46,378.736,302.071,150.979
0,cell1303_03_model_cm_0_43[0].dend[8],1.000,-85.6966,-69.4061,0,283.326,2551.2,0,378.736,302.071,150.979
1,cell1303_03_model_cm_0_43[0].dend[9],0.500,-85.6861,-80.945,-77.3223,301.737,1192.81,1616,166.09,86.3664,76.8209
0,cell1303_03_model_cm_0_43[0].dend[9],0.500,-85.6762,-80.7247,0,310.652,1228.03,0,166.09,86.3664,76.8209
1,cell1303_03_model_cm_0_43[0].dend[9],1.000,-85.7007,-80.2277,-76.8648,294.318,1444.02,1863.9,202.477,102.295,94.6759
