Spine,shaft_name,shaft_x,max_soma_v,max_shaft_v,max_spine_v,soma_v_integ,shaft_v_integ,spine_v_integ,ir_shaft,z_shaft,dist_shaft
1,cell0603_08_model_cm_0_45[0].soma[0],0.500,-85.3111,-85.3111,-81.2796,418.159,418.159,858.419,55.9618,10.0257,0
0,cell0603_08_model_cm_0_45[0].soma[0],0.500,-85.2828,-85.2828,0,431.196,431.196,0,55.9618,10.0257,0
1,cell0603_08_model_cm_0_45[0].soma[0],1.000,-85.3113,-85.2836,-81.2412,418.037,422.312,862.444,56.5282,10.4612,11.0794
0,cell0603_08_model_cm_0_45[0].soma[0],1.000,-85.2831,-85.2537,0,431.065,435.473,0,56.5282,10.4612,11.0794
1,cell0603_08_model_cm_0_45[0].dend[0],0.500,-85.3469,-85.1841,-81.1216,412.731,438.176,877.885,58.6978,11.996,12.2946
0,cell0603_08_model_cm_0_45[0].dend[0],0.500,-85.3208,-85.1488,0,425.574,451.81,0,58.6978,11.996,12.2946
1,cell0603_08_model_cm_0_45[0].dend[0],1.000,-85.3795,-85.059,-80.9951,407.471,457.812,897.036,61.3835,13.931,24.5891
0,cell0603_08_model_cm_0_45[0].dend[0],1.000,-85.3554,-85.0172,0,420.129,472.034,0,61.3835,13.931,24.5891
1,cell0603_08_model_cm_0_45[0].dend[1],0.167,-85.4138,-84.0879,-80.0103,400.039,579.082,1014.85,78.1851,28.3616,31.9318
0,cell0603_08_model_cm_0_45[0].dend[1],0.167,-85.3918,-83.9962,0,412.316,596.852,0,78.1851,28.3616,31.9318
1,cell0603_08_model_cm_0_45[0].dend[1],0.500,-85.4689,-82.5552,-78.5819,386.639,810.529,1240.6,110.771,53.7539,46.6171
0,cell0603_08_model_cm_0_45[0].dend[1],0.500,-85.4505,-82.3927,0,398.275,834.918,0,110.771,53.7539,46.6171
1,cell0603_08_model_cm_0_45[0].dend[1],0.833,-85.507,-81.557,-77.7545,374.905,1029.56,1455.39,142.028,73.8662,61.3024
0,cell0603_08_model_cm_0_45[0].dend[1],0.833,-85.4909,-81.3574,0,386.034,1060.12,0,142.028,73.8662,61.3024
1,cell0603_08_model_cm_0_45[0].dend[1],1.000,-85.5209,-81.1801,-77.5033,369.642,1135.66,1559.81,157.249,82.5388,68.645
0,cell0603_08_model_cm_0_45[0].dend[1],1.000,-85.5055,-80.9701,0,380.561,1169.2,0,157.249,82.5388,68.645
1,cell0603_08_model_cm_0_45[0].dend[2],0.056,-85.533,-80.2547,-76.649,363.652,1298.97,1719.51,181.36,99.8664,79.3974
0,cell0603_08_model_cm_0_45[0].dend[2],0.056,-85.5183,-80.007,0,374.263,1336.86,0,181.36,99.8664,79.3974
1,cell0603_08_model_cm_0_45[0].dend[2],0.167,-85.5525,-78.6424,-75.241,353.133,1616.6,2030.71,229.139,132.979,100.902
0,cell0603_08_model_cm_0_45[0].dend[2],0.167,-85.5388,-78.338,0,363.217,1662.75,0,229.139,132.979,100.902
1,cell0603_08_model_cm_0_45[0].dend[2],0.278,-85.5676,-77.1983,-74.0722,344.084,1924.16,2332.66,276.413,164.847,122.407
0,cell0603_08_model_cm_0_45[0].dend[2],0.278,-85.5546,-76.8519,0,353.733,1978.1,0,276.413,164.847,122.407
1,cell0603_08_model_cm_0_45[0].dend[2],0.389,-85.5798,-75.7675,-72.9278,336.136,2224.05,2627.38,323.53,196.734,143.911
0,cell0603_08_model_cm_0_45[0].dend[2],0.389,-85.5674,-75.3808,0,345.406,2285.37,0,323.53,196.734,143.911
1,cell0603_08_model_cm_0_45[0].dend[2],0.500,-85.5901,-74.284,-71.6685,328.972,2517.59,2915.87,370.829,229.631,165.416
0,cell0603_08_model_cm_0_45[0].dend[2],0.500,-85.5782,-73.8525,0,337.897,2585.87,0,370.829,229.631,165.416
1,cell0603_08_model_cm_0_45[0].dend[2],0.611,-85.5993,-72.7418,-70.264,322.319,2805.17,3198.2,418.65,264.213,186.921
0,cell0603_08_model_cm_0_45[0].dend[2],0.611,-85.5879,-72.2617,0,330.908,2879.91,0,418.65,264.213,186.921
1,cell0603_08_model_cm_0_45[0].dend[2],0.722,-85.6079,-71.1576,-68.7413,315.938,3086.39,3473.73,467.338,300.9,208.426
0,cell0603_08_model_cm_0_45[0].dend[2],0.722,-85.597,-70.6273,0,324.186,3166.95,0,467.338,300.9,208.426
1,cell0603_08_model_cm_0_45[0].dend[2],0.833,-85.6163,-69.5519,-67.1349,309.634,3360.29,3741.28,517.243,339.984,229.93
0,cell0603_08_model_cm_0_45[0].dend[2],0.833,-85.6058,-68.9723,0,317.522,3445.87,0,517.243,339.984,229.93
1,cell0603_08_model_cm_0_45[0].dend[2],0.944,-85.6247,-67.9371,-65.4691,303.274,3625.77,3999.61,568.725,381.777,251.435
0,cell0603_08_model_cm_0_45[0].dend[2],0.944,-85.6148,-67.3106,0,310.779,3715.47,0,568.725,381.777,251.435
1,cell0603_08_model_cm_0_45[0].dend[2],1.000,-85.629,-67.1276,-64.6104,300,3755.29,4125.1,595.411,403.969,262.187
0,cell0603_08_model_cm_0_45[0].dend[2],1.000,-85.6194,-66.4794,0,307.3,3846.64,0,595.411,403.969,262.187
1,cell0603_08_model_cm_0_45[0].dend[3],0.056,-85.5313,-80.2959,-76.6942,364.208,1287.68,1708.4,179.712,99.3239,78.5805
0,cell0603_08_model_cm_0_45[0].dend[3],0.056,-85.5164,-80.0504,0,374.841,1325.27,0,179.712,99.3239,78.5805
1,cell0603_08_model_cm_0_45[0].dend[3],0.167,-85.5483,-78.7129,-75.3188,354.563,1584.03,1998.54,224.31,131.909,98.4515
0,cell0603_08_model_cm_0_45[0].dend[3],0.167,-85.5344,-78.4119,0,364.701,1629.31,0,224.31,131.909,98.4515
1,cell0603_08_model_cm_0_45[0].dend[3],0.278,-85.5619,-77.2538,-74.1223,346.16,1871.51,2280.5,268.54,163.749,118.322
0,cell0603_08_model_cm_0_45[0].dend[3],0.278,-85.5487,-76.9084,0,355.879,1924.05,0,268.54,163.749,118.322
1,cell0603_08_model_cm_0_45[0].dend[3],0.389,-85.5732,-75.8038,-72.9274,338.694,2152,2555.83,312.676,195.74,138.193
0,cell0603_08_model_cm_0_45[0].dend[3],0.389,-85.5605,-75.4146,0,348.044,2211.4,0,312.676,195.74,138.193
1,cell0603_08_model_cm_0_45[0].dend[3],0.500,-85.5829,-74.3178,-71.6358,331.902,2426.53,2825.29,356.99,228.596,158.064
0,cell0603_08_model_cm_0_45[0].dend[3],0.500,-85.5708,-73.8819,0,340.912,2492.38,0,356.99,228.596,158.064
1,cell0603_08_model_cm_0_45[0].dend[3],0.611,-85.5917,-72.7929,-70.2322,325.555,2695.4,3088.95,401.755,262.808,177.935
0,cell0603_08_model_cm_0_45[0].dend[3],0.611,-85.5801,-72.3079,0,334.234,2767.24,0,401.755,262.808,177.935
1,cell0603_08_model_cm_0_45[0].dend[3],0.722,-85.6,-71.243,-68.7388,319.456,2958.34,3346.31,447.246,298.693,197.806
0,cell0603_08_model_cm_0_45[0].dend[3],0.722,-85.5889,-70.7083,0,327.801,3035.6,0,447.246,298.693,197.806
1,cell0603_08_model_cm_0_45[0].dend[3],0.833,-85.6081,-69.6844,-67.1849,313.446,3214.69,3596.53,493.742,336.488,217.677
0,cell0603_08_model_cm_0_45[0].dend[3],0.833,-85.5975,-69.1015,0,321.443,3296.68,0,493.742,336.488,217.677
1,cell0603_08_model_cm_0_45[0].dend[3],0.944,-85.6162,-68.1272,-65.5896,307.418,3463.71,3838.79,541.529,376.45,237.548
0,cell0603_08_model_cm_0_45[0].dend[3],0.944,-85.606,-67.4988,0,315.049,3549.66,0,541.529,376.45,237.548
1,cell0603_08_model_cm_0_45[0].dend[3],1.000,-85.6203,-67.3499,-64.7728,304.34,3585.51,3956.84,566.19,397.473,247.484
0,cell0603_08_model_cm_0_45[0].dend[3],1.000,-85.6104,-66.7007,0,311.776,3673.1,0,566.19,397.473,247.484
1,cell0603_08_model_cm_0_45[0].dend[4],0.500,-85.3848,-85.0274,-80.965,406.516,462.5,901.607,62.0263,14.4203,27.289
0,cell0603_08_model_cm_0_45[0].dend[4],0.500,-85.361,-84.984,0,419.14,476.862,0,62.0263,14.4203,27.289
1,cell0603_08_model_cm_0_45[0].dend[4],1.000,-85.39,-84.9963,-80.9362,405.569,467.175,906.167,62.666,14.9033,29.9889
0,cell0603_08_model_cm_0_45[0].dend[4],1.000,-85.3665,-84.9514,0,418.158,481.676,0,62.666,14.9033,29.9889
1,cell0603_08_model_cm_0_45[0].dend[5],0.033,-85.42,-83.656,-79.603,397.508,628.042,1062.38,85.0513,34.8699,39.5462
0,cell0603_08_model_cm_0_45[0].dend[5],0.033,-85.3985,-83.5433,0,409.645,647.216,0,85.0513,34.8699,39.5462
1,cell0603_08_model_cm_0_45[0].dend[5],0.100,-85.4697,-81.444,-77.5434,383.212,934.025,1360.5,128.682,71.1293,58.6608
0,cell0603_08_model_cm_0_45[0].dend[5],0.100,-85.4513,-81.2307,0,394.595,961.765,0,128.682,71.1293,58.6608
1,cell0603_08_model_cm_0_45[0].dend[5],0.167,-85.5073,-79.8091,-76.0738,371.063,1223.91,1644.04,171.072,101.498,77.7754
0,cell0603_08_model_cm_0_45[0].dend[5],0.167,-85.4912,-79.5304,0,381.849,1259.48,0,171.072,101.498,77.7754
1,cell0603_08_model_cm_0_45[0].dend[5],0.233,-85.5355,-78.5725,-75.0073,360.628,1501.75,1916.69,212.463,127.231,96.89
0,cell0603_08_model_cm_0_45[0].dend[5],0.233,-85.5209,-78.2497,0,370.935,1544.66,0,212.463,127.231,96.89
1,cell0603_08_model_cm_0_45[0].dend[5],0.300,-85.5566,-77.5949,-74.2126,351.567,1770.57,2181.14,253.092,149.697,116.005
0,cell0603_08_model_cm_0_45[0].dend[5],0.300,-85.5431,-77.2437,0,361.478,1820.47,0,253.092,149.697,116.005
1,cell0603_08_model_cm_0_45[0].dend[5],0.367,-85.5728,-76.7584,-73.5834,343.608,2032.59,2439.38,293.191,170.186,135.119
0,cell0603_08_model_cm_0_45[0].dend[5],0.367,-85.56,-76.3888,0,353.185,2089.22,0,293.191,170.186,135.119
1,cell0603_08_model_cm_0_45[0].dend[5],0.433,-85.5855,-75.955,-73.0221,336.53,2289.46,2692.85,332.987,189.858,154.234
0,cell0603_08_model_cm_0_45[0].dend[5],0.433,-85.5733,-75.5717,0,345.816,2352.62,0,332.987,189.858,154.234
1,cell0603_08_model_cm_0_45[0].dend[5],0.500,-85.5959,-75.103,-72.4309,330.146,2542.33,2942.48,372.706,209.697,173.348
0,cell0603_08_model_cm_0_45[0].dend[5],0.500,-85.5842,-74.7041,0,339.17,2611.81,0,372.706,209.697,173.348
1,cell0603_08_model_cm_0_45[0].dend[5],0.567,-85.6047,-74.1666,-71.7278,324.293,2791.88,3188.81,412.577,230.478,192.463
0,cell0603_08_model_cm_0_45[0].dend[5],0.567,-85.5933,-73.7463,0,333.073,2867.45,0,412.577,230.478,192.463
1,cell0603_08_model_cm_0_45[0].dend[5],0.633,-85.6124,-73.1465,-70.8774,318.824,3038.37,3431.91,452.823,252.769,211.577
0,cell0603_08_model_cm_0_45[0].dend[5],0.633,-85.6014,-72.6988,0,327.367,3119.76,0,452.823,252.769,211.577
1,cell0603_08_model_cm_0_45[0].dend[5],0.700,-85.6194,-72.057,-69.8885,313.603,3281.63,3671.48,493.676,276.952,230.692
0,cell0603_08_model_cm_0_45[0].dend[5],0.700,-85.6088,-71.577,0,321.904,3368.48,0,493.676,276.952,230.692
1,cell0603_08_model_cm_0_45[0].dend[5],0.767,-85.6261,-70.9129,-68.7851,308.501,3521.1,3906.79,535.367,303.271,249.807
0,cell0603_08_model_cm_0_45[0].dend[5],0.767,-85.6158,-70.3984,0,316.549,3612.92,0,535.367,303.271,249.807
1,cell0603_08_model_cm_0_45[0].dend[5],0.833,-85.6327,-69.7274,-67.5896,303.403,3755.84,4136.78,578.133,331.9,268.921
0,cell0603_08_model_cm_0_45[0].dend[5],0.833,-85.6228,-69.1772,0,311.178,3852.06,0,578.133,331.9,268.921
1,cell0603_08_model_cm_0_45[0].dend[5],0.900,-85.6394,-68.508,-66.3165,298.214,3984.77,4360.27,622.217,363.006,288.036
0,cell0603_08_model_cm_0_45[0].dend[5],0.900,-85.6298,-67.9215,0,305.692,4084.66,0,622.217,363.006,288.036
1,cell0603_08_model_cm_0_45[0].dend[5],0.967,-85.6462,-67.2541,-64.9719,292.874,4206.89,4576.2,667.87,396.824,307.15
0,cell0603_08_model_cm_0_45[0].dend[5],0.967,-85.6371,-66.6315,0,300.032,4309.67,0,667.87,396.824,307.15
1,cell0603_08_model_cm_0_45[0].dend[5],1.000,-85.6498,-66.6134,-64.2674,290.094,4315.25,4681.06,691.58,414.969,316.708
0,cell0603_08_model_cm_0_45[0].dend[5],1.000,-85.6409,-65.9733,0,297.079,4419.12,0,691.58,414.969,316.708
1,cell0603_08_model_cm_0_45[0].dend[6],0.500,-85.3915,-84.9842,-80.9245,405.283,468.92,907.867,62.9063,15.092,30.936
0,cell0603_08_model_cm_0_45[0].dend[6],0.500,-85.3681,-84.9387,0,417.862,483.473,0,62.9063,15.092,30.936
1,cell0603_08_model_cm_0_45[0].dend[6],1.000,-85.393,-84.9721,-80.9129,404.998,470.663,909.566,63.1446,15.2777,31.8831
0,cell0603_08_model_cm_0_45[0].dend[6],1.000,-85.3697,-84.926,0,417.566,485.268,0,63.1446,15.2777,31.8831
1,cell0603_08_model_cm_0_45[0].dend[7],0.500,-85.4008,-84.1883,-80.1551,401.181,562.686,998.885,75.9042,27.1418,39.36
0,cell0603_08_model_cm_0_45[0].dend[7],0.500,-85.3781,-84.1032,0,413.512,579.98,0,75.9042,27.1418,39.36
