,model,number_of_synapses,NMDA_W,tau_1_NMDA,tau_2_NMDA,N_NMDA,GAMMA_NMDA,AMPA_W,DELAY,rmsd_epsp,AMPA_W_B,DELAY_B,rmsd_block,syns_secs,syns_segs
0,30829,16,0.00171505,7.73085,35.2225,0.280112,0.0764089,0.000922117,0.902131,0.00391601,0.000169877,2.18707,0.00020282,"[74, 61, 75, 67, 68, 75, 65, 64, 56, 69, 65, 74, 68, 69, 74, 68]","[0.156043, 0.617088, 0.861061, 0.861263, 0.00680224, 0.736095, 0.753864, 0.643788, 0.359827, 0.364056, 0.757668, 0.987056, 0.266235, 0.864502, 0.465488, 0.748825]"
1,2883,26,0.00112686,7.0988,35.7302,0.280112,0.0768137,0.000560282,0.878294,0.00397639,0.000103454,2.05388,0.000201568,"[65, 69, 69, 67, 56, 67, 64, 74, 67, 69, 65, 66, 75, 56, 75, 65, 74, 68, 56, 64, 67, 68, 55, 75, 75, 75]","[0.979369, 0.938306, 0.93364, 0.541815, 0.466857, 0.308809, 0.905748, 0.740192, 0.315671, 0.978631, 0.817764, 0.466085, 0.362468, 0.820308, 0.470143, 0.856234, 0.937382, 0.260414, 0.00488999, 0.0482146, 0.65487, 0.733785, 0.738125, 0.953895, 0.53118, 0.881273]"
2,47067,24,0.00176676,7.37808,35.7074,0.280112,0.0814806,0.000605963,0.763366,0.00398087,0.000111342,2.05039,0.000201967,"[64, 67, 72, 67, 72, 67, 65, 69, 65, 75, 75, 68, 72, 69, 69, 65, 65, 68, 69, 68, 67, 74, 73, 74]","[0.348894, 0.758154, 0.852135, 0.578935, 0.972139, 0.638513, 0.522887, 0.841041, 0.338187, 0.081236, 0.489382, 0.320249, 0.568433, 0.961893, 0.829043, 0.746401, 0.669548, 0.32031, 0.386572, 0.945268, 0.2825, 0.950188, 0.496175, 0.598209]"
3,15796,21,0.00131038,8.019,34.9884,0.280112,0.0765685,0.00073027,0.830076,0.00401606,0.000130939,2.11644,0.000205453,"[69, 74, 64, 65, 65, 65, 69, 63, 74, 67, 73, 65, 74, 69, 69, 67, 75, 64, 75, 65, 67]","[0.0623284, 0.825413, 0.684461, 0.0645187, 0.692523, 0.989443, 0.933003, 0.766363, 0.886348, 0.366332, 0.584251, 0.238687, 0.251067, 0.701947, 0.58952, 0.663882, 0.985628, 0.817095, 0.851757, 0.514173, 0.226429]"
4,14265,18,0.00187858,7.34461,35.7944,0.280112,0.0787393,0.000813574,0.763017,0.00402295,0.00015026,2.14999,0.000208011,"[63, 56, 68, 69, 64, 75, 63, 74, 67, 64, 67, 68, 75, 69, 65, 67, 64, 75]","[0.176077, 0.273305, 0.912188, 0.809779, 0.240693, 0.241265, 0.863912, 0.836055, 0.314382, 0.0404877, 0.927336, 0.705328, 0.678712, 0.540596, 0.837663, 0.115279, 0.417996, 0.736682]"
5,49303,27,0.00100419,7.55151,35.3814,0.280112,0.076172,0.000540676,0.873992,0.0040292,0.000100057,2.14248,0.000209589,"[67, 74, 75, 75, 68, 74, 69, 69, 67, 65, 75, 69, 67, 64, 66, 65, 65, 67, 67, 1, 67, 64, 64, 64, 68, 64, 74]","[0.212615, 0.207539, 0.507009, 0.971198, 0.00631887, 0.666246, 0.791187, 0.805616, 0.907776, 0.76686, 0.493742, 0.294239, 0.0766127, 0.0257995, 0.586398, 0.13184, 0.696469, 0.413046, 0.145249, 0.769168, 0.519848, 0.923499, 0.646082, 0.753562, 0.732928, 0.485545, 0.809366]"
6,53090,27,0.000995527,7.69824,35.1903,0.280112,0.0761981,0.000527183,1.0297,0.00403195,9.93718e-05,2.30131,0.000207903,"[64, 55, 64, 65, 75, 74, 70, 67, 74, 75, 67, 67, 74, 72, 69, 69, 74, 74, 75, 68, 68, 68, 68, 69, 68, 64, 75]","[0.324937, 0.647227, 0.775902, 0.0978052, 0.560617, 0.764709, 0.30742, 0.997924, 0.0768416, 0.280576, 0.570886, 0.344662, 0.925496, 0.923716, 0.527992, 0.706069, 0.0202662, 0.0552263, 0.435117, 0.0436543, 0.246781, 0.887716, 0.734575, 0.773502, 0.649078, 0.455021, 0.528796]"
7,2735,24,0.00161811,7.64774,35.3363,0.280112,0.0805503,0.00059411,1.01225,0.00403209,0.000111639,2.34952,0.000210642,"[68, 74, 67, 69, 65, 69, 55, 74, 74, 68, 68, 68, 3, 68, 64, 74, 67, 67, 73, 68, 69, 75, 75, 75]","[0.487598, 0.237376, 0.518295, 0.719904, 0.543196, 0.669912, 0.0521574, 0.831952, 0.326897, 0.754312, 0.358293, 0.455193, 0.333523, 0.256521, 0.00921109, 0.0954811, 0.0501026, 0.167517, 0.851068, 0.140447, 0.943583, 0.066476, 0.661248, 0.630445]"
8,56771,24,0.00153078,7.19818,35.7511,0.280112,0.0796758,0.000596973,0.944904,0.00404857,0.000110951,2.15035,0.000205909,"[65, 74, 65, 65, 71, 75, 57, 68, 68, 57, 68, 64, 68, 64, 67, 64, 64, 65, 74, 74, 75, 69, 68, 64]","[0.150846, 0.463188, 0.994156, 0.959251, 0.665848, 0.337587, 0.916844, 0.93777, 0.257399, 0.548493, 0.426002, 0.917642, 0.215956, 0.209721, 0.489626, 0.348416, 0.929731, 0.109859, 0.686868, 0.856136, 0.314069, 0.25884, 0.0781792, 0.923389]"
9,55545,26,0.00104221,7.77913,35.1314,0.280112,0.0762642,0.000554197,0.921649,0.00405325,0.00010421,2.24376,0.00021369,"[69, 74, 67, 65, 75, 65, 68, 65, 68, 72, 73, 67, 68, 55, 69, 75, 69, 75, 65, 68, 68, 67, 75, 74, 69, 75]","[0.0388227, 0.817087, 0.943535, 0.803339, 0.0221645, 0.399453, 0.731205, 0.957068, 0.527971, 0.276193, 0.188724, 0.565754, 0.108397, 0.098214, 0.381763, 0.227171, 0.644698, 0.651437, 0.21728, 0.823881, 0.801219, 0.387689, 0.788918, 0.69878, 0.0540106, 0.894269]"
